surface	prediction_count	score_min	score_max	score_mean	score_stddev	unique_score_values	unique_classes	non_finite_scores	score_collapse	status
B2_CPU	65522	0.001002	0.5	0.022390141341839382	0.07586457680366643	94	80	0	no	pass
B2_EP	65462	0.001002	0.5	0.022436523906999482	0.07584042432462847	94	80	0	no	pass
C2_CPU	64199	0.001042	0.939698	0.02710983314381844	0.10706017951653714	141	80	0	no	pass
C2_EP	63651	0.001042	0.939698	0.027357862311668316	0.10740833225375314	141	80	0	no	pass
