model	precision	execution	location	dataset	model_sha256	tail_sha256	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_small	ar_medium	ar_large	prediction_count	status	gap_to_fp32_map50_95	c2_fraction_b2_to_fp32_gap_recovered
FP32-H8	FP32	host-CPU	host	val2017-5000	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.4018217950262668	0.5577825753340728	0.4360739146105322	0.19678895427851534	0.44113875379235723	0.5829462863296956	0.3858430254550253	0.6712525770448269	0.8026944092232514	732374	accepted-host-reference	0.0	not-applicable
B2	S8-QDQ	host-CPU	host	val2017-5000	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.3658592288412378	0.5273409558782952	0.39884579427083683	0.18014685069413666	0.41995524974853976	0.5201067045733788	0.37304614165041583	0.6466869070444184	0.7892561705814214	651637	accepted-host-reference	0.03596256618502902	not-applicable
C2	S8-QDQ	host-CPU	host	val2017-5000	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.3785087779678713	0.534515337427452	0.4115699780934227	0.18046106109074492	0.4256318201041861	0.5587231596091323	0.37318345390745117	0.6463790224220047	0.7868536656749086	638745	accepted-host-reference	0.023313017058395502	0.3517421159978134
FP32-H8	FP32	board-CPU	board	not-run-H500-gate-closed	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-comparable-different-dataset	not-comparable-different-dataset
FP32-H8	FP32	board-SpaceMIT-EP	board	not-run-H500-gate-closed	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-comparable-different-dataset	not-comparable-different-dataset
FP16	FP16	host-CPU	host	not-run-no-comparable-frozen-artifact	identity-unresolved	identity-unresolved	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-no-comparable-frozen-artifact	not-comparable-different-dataset	not-comparable-different-dataset
FP16	FP16	board-CPU	board	not-run-no-comparable-frozen-artifact	identity-unresolved	identity-unresolved	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-no-comparable-frozen-artifact	not-comparable-different-dataset	not-comparable-different-dataset
FP16	FP16	board-SpaceMIT-EP	board	not-run-no-comparable-frozen-artifact	identity-unresolved	identity-unresolved	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-gate-closed	not-run-no-comparable-frozen-artifact	not-comparable-different-dataset	not-comparable-different-dataset
B2	S8-QDQ	board-CPU	board	H500-train2017	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.4443998906888379	0.6119905159410175	0.4801652362915766	0.2420544782447823	0.5116706544478519	0.6800725582106381	0.426600587103372	0.7062872134048073	0.8360577500844529	65522	Stage65D-H500	not-comparable-different-dataset	not-comparable-different-dataset
B2	S8-QDQ	board-SpaceMIT-EP	board	H500-train2017	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.44355661563546556	0.6139300033320019	0.48327666857167734	0.2381705469768612	0.5151029660306194	0.6732289610524287	0.4273533140644738	0.7081954926489101	0.8326750057003541	65462	Stage65D-H500	not-comparable-different-dataset	not-comparable-different-dataset
