surface	model	provider	mode	fixture	exit_code	output_sha256	log	inference_create_us	tail_create_us	first_inference_us	first_tail_us	first_total_us	status
B2_spacemit_fixed_bus	B2	spacemit	fixed	bus	0	bb7b5736de6db7edcf3eff6dfafc79e1d6eed3fe6ed33591070bd22c8f2217f7	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-spacemit-bus/run.log	1824550.129000	17712.589000	339798.412000	21661.173000	361459.585000	pass
C2_cpu_fixed_bus	C2	cpu	fixed	bus	0	94b54d35fb78ceedfe8fc8e03da28a8658708d6f3fe84ddd9f213c99b30baccc	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-cpu-bus/run.log	1252249.100000	16395.101000	3078503.745000	19192.703000	3097696.448000	pass
C2_spacemit_fixed_bus	C2	spacemit	fixed	bus	0	520259f4caca2efd55882e8e0a0c94c123f5292563fc849201ac11f784bad959	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-spacemit-bus/run.log	1842737.859000	17498.292000	338979.096000	21322.624000	360301.720000	pass
B2_cpu_fixed_zidane	B2	cpu	fixed	zidane	0	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-cpu-zidane/run.log	1274674.015000	16329.516000	3058850.557000	19270.121000	3078120.678000	pass
B2_spacemit_fixed_zidane	B2	spacemit	fixed	zidane	0	c526c20ba65a733238985f188daaff628c722e909ad1373a6add7795be228813	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-spacemit-zidane/run.log	1839205.915000	17622.877000	338606.748000	21405.084000	360011.832000	pass
C2_cpu_fixed_zidane	C2	cpu	fixed	zidane	0	0f9d3dd2a7bd20624fb4d18813f4e8d55c3b167d39ac8c180c856ba6f466dd67	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-cpu-zidane/run.log	1259031.239000	16197.180000	3060329.282000	19833.758000	3080163.040000	pass
C2_spacemit_fixed_zidane	C2	spacemit	fixed	zidane	0	154f8409eb8a9307572ce3d0d9952e1c50de3426da02bd777c7d5c7715117110	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-spacemit-zidane/run.log	1877610.411000	17945.176000	452610.305000	21500.502000	474110.807000	pass
B2_cpu_fixed_canonical	B2	cpu	fixed	canonical	0	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-cpu-canonical/run.log	1268647.714000	16206.930000	3100670.630000	19470.291000	3120140.921000	pass
B2_spacemit_fixed_canonical	B2	spacemit	fixed	canonical	0	898b4a8144175083b5e46d2e173e0cea833a1bb6f4c924161f1b835f6c28893f	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-spacemit-canonical/run.log	1843236.226000	17599.460000	339159.289000	21369.373000	360528.662000	pass
C2_cpu_fixed_canonical	C2	cpu	fixed	canonical	0	6fb152293ffb57860e5584f5ab680a549266a32c541d88cf22fd1ce875512348	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-cpu-canonical/run.log	1256009.837000	16278.098000	3039205.136000	19483.208000	3058688.344000	pass
C2_spacemit_fixed_canonical	C2	spacemit	fixed	canonical	0	3a73dc092bc2c7aa3bcf4eba38df22c2aa4a64bc56dd46b4daaeb703a99dbd91	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/C2-spacemit-canonical/run.log	1859702.337000	17408.914000	346421.355000	21539.001000	367960.356000	pass
