surface	size_bin	ap50_95	ar_100
B2_CPU	small	0.2420544782447823	0.426600587103372
B2_CPU	medium	0.5116706544478519	0.7062872134048073
B2_CPU	large	0.6800725582106381	0.8360577500844529
B2_EP	small	0.2381705469768612	0.4273533140644738
B2_EP	medium	0.5151029660306194	0.7081954926489101
B2_EP	large	0.6732289610524287	0.8326750057003541
C2_CPU	small	0.24033037792642806	0.4237908744539566
C2_CPU	medium	0.5144880434598654	0.7061292346590603
C2_CPU	large	0.7013858420581264	0.8347485310527107
C2_EP	small	0.237307265064193	0.42730076406662526
C2_EP	medium	0.5182332003462717	0.7065159875655803
C2_EP	large	0.6913838262313786	0.8310656632454234
