surface	matching_processes	status
host	"2856 /bin/bash -lc set -euo pipefail REPO=/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation STAGE=BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001 RAW=/data/k1x-stage-runs/$STAGE TRACKED=$REPO/stages/$STAGE SHARED=$(cat /data/lab/task-runs/$STAGE/shared-log-dir.txt) python3 ""$REPO/vendor_ort_validation/stage65d_preflight.py"" --tracked-root ""$TRACKED"" --raw-root ""$RAW"" --shared-log ""$SHARED"" sed -n '1,80p' ""$TRACKED/workspace_preflight.md"" cat ""$TRACKED/process_audit_before.tsv""
2889 python3 /data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65d_preflight.py --tracked-root /data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/stages/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001 --raw-root /data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001 --shared-log /data/ncnn-logs/ai-team/2026-08-24/2026-08-24_12-29-11__contcodex__BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001__stage65d-c2-board-passport"	pass-self-excluded
board	none	pass
