field	actual	expected	status
banana_head	e4b2d9622bd6db39e3b69ff9ba425e806a18b3ea	e4b2d9622bd6db39e3b69ff9ba425e806a18b3ea	pass
banana_tree	db0d370d927d96119af91e4e031af703f30c9e20	db0d370d927d96119af91e4e031af703f30c9e20	pass
xslim_head	46d5d36bcb6979bab6567fb4fe62839689f1881c	46d5d36bcb6979bab6567fb4fe62839689f1881c	pass
xslim_tree	1788779cd0887a1c8e6924cd63ad7d16d42f41ca	1788779cd0887a1c8e6924cd63ad7d16d42f41ca	pass
protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass
ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass
ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass
ncnn_diff	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass
ncnn_dirty_count	3	3	pass
xslim_version	2.1.2+riscy.2.dev2	2.1.2+riscy.2.dev2	pass
