model	provider	mode	recreation	runs	exit_code	output_sha256	boundary_manifest_sha256	unique_sample_hashes	samples_sha256	status
B2	spacemit	recreate	9	1	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	1dc8bd2ce0b525be9e21a26452039503ee5aed352a5b0340f08a9c63fda104b9	1	3afe781ab8fbd3a1ed075f5b298542d00db35aa2864eb1a60967afc1614e3991	pass
B2	spacemit	recreate	10	1	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	1dc8bd2ce0b525be9e21a26452039503ee5aed352a5b0340f08a9c63fda104b9	1	3c18738494b0342d3e227ac35c79522ae2bffbb489402935bb634b549dece4e2	pass
C2	cpu	recreate	1	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	d164f1cf3bd0998413f823f764f4184d77b85ea0ed1591a1c5c2475bb93f78fa	pass
C2	cpu	recreate	2	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	5575409e3037a1e516c25a98ab1bca2b6c3e77d5b63dcf6c73ca33d980656a7f	pass
C2	cpu	recreate	3	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	5c14ab759f9111628601fe866c599591d383e87ca2380116dcfafaeef2782f0a	pass
C2	cpu	recreate	4	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	99754a48b8206cad49480bccb19cf914e6e7e94b73a737f59ea4a916db1cd188	pass
C2	cpu	recreate	5	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	e5ed8064210765af93ff1fdb99fb5d2975f588d6b78dee0d69bb86440451dbfd	pass
C2	cpu	recreate	6	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	f66a7be5a78397e84cb5250848b078ae9bc7a2fdf54af3873ef0bc70cbd44bec	pass
C2	cpu	recreate	7	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	693859a357e2766b7f5523c5ddfb33855c95bfaba10ceb950ecb28255427d5f9	pass
C2	cpu	recreate	8	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	3526ae66c7ebd685341597476afc5e16c7faea0e3ee884b0037fda51f1a9b8ce	pass
C2	cpu	recreate	9	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	e98e2d459acc9a30a14727b19560168cde99c138c1dc686068b490365aef7584	pass
C2	cpu	recreate	10	1	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	3b328ee76cb771ccf1d14ce8159793e69254fd5718b27adc0e2fefd3b55038be	1	834c6359794c911ba0dcf51ab2c9014c1f51b334b9783fe332c005f265c3e07b	pass
C2	spacemit	recreate	1	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	b11b1f9ad83ebb7183987059e2a5f5e000ef6aa9809f04ab1d3ba6f1a8c0891c	pass
C2	spacemit	recreate	2	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	5ca62b6ce30e6d12943ad8c1dc77aa7c2987a7614be0ee13c29e0cac406936ca	pass
C2	spacemit	recreate	3	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	c620ddbcedcac3081d6db7d247ff2773b208d6a673156e5912483a917f022df1	pass
C2	spacemit	recreate	4	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	ce383e0c68cacd8a5cf6a761ca4f45c161ec951b1fce7b2fd018d74724ae5962	pass
C2	spacemit	recreate	5	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	5a34daf769e4aa55bee958dd2009a5bc407d63dd3804e5af79b2eb91747e05b2	pass
C2	spacemit	recreate	6	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	1134600f0a3114383280fc47cade7c048f3cf17183c323d77475ab0ef0635190	pass
C2	spacemit	recreate	7	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	9cb37838b58ecd8f781cfc831da17f1e2d191d68b3a6a99a136c5fe5b0a27e18	pass
C2	spacemit	recreate	8	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	b0069cea49f01989ca939b2e9acd8dfb96771ab0649c59d8906a236410626ac8	pass
C2	spacemit	recreate	9	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	85c946b1cd6027a650481c5c9ab2f1057f1363c8f5e163322ef8868c7ca82b6a	pass
C2	spacemit	recreate	10	1	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	08c6f46b3658bc7fb57c4bb2843b6aee9f98ebda8c9a90b144bc8008714740f3	1	86c8157c92386a6f54c2677a1baeaf2b63f5daf6353bb1bcfb0d15176708aa9c	pass
