precision	surface	model_path	model_sha256	expected_model_sha256	prediction_path	prediction_sha256	expected_prediction_sha256	accepted_map50_95	status
FP32	host-current-H8	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.inference.onnx	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/full-matrix/hybrid-full-coco/H8/predictions.json	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	0.4018217950262668	bound-comparable
FP16	none	not-run	not-run	not-run	not-run	not-run	not-run	not-run	not-run-no-comparable-frozen-artifact
