pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero	probability_ge_minus_0_005
C2_EP-vs-B2_EP	map50_95	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.007548278133949038	0.008790027165680492	0.008551184466951939	0.004328282638109279	0.014640085099288231	0.9996	0.0004	1.0
C2_EP-vs-B2_EP	map50	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.003902837247085289	0.004387816357864078	0.004073547339538797	-0.00017758027190360729	0.011087483594050132	0.9705	0.0295	0.9997
C2_EP-vs-B2_EP	map75	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.006588477913827717	0.007625117785780062	0.007358209709931118	0.002211226427226634	0.014553055984774833	0.9971	0.0029	1.0
C2_EP-vs-B2_EP	ap_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0008632819126682123	-0.0004886146533851035	-0.0004185035034751372	-0.0027008914150527417	0.0011765728589796303	0.2974	0.7026	0.9959
C2_EP-vs-B2_EP	ap_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0031302343156522916	0.0038427779579966767	0.003733832335948317	-0.0008115396967490418	0.008956603158885156	0.9509	0.0491	0.9991
C2_EP-vs-B2_EP	ap_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.01815486517894993	0.021237149825654486	0.020880777226775726	0.011028313348569707	0.03342411748266035	0.9998	0.0002	1.0
C2_EP-vs-B2_EP	ar1	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0013284986217502737	0.000945773751292544	0.0011385428226141636	-0.0037674281397545397	0.00451092152357752	0.7124	0.2876	0.9898
C2_EP-vs-B2_EP	ar10	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0026936802590660225	-0.0027025140464854856	-0.002676681123357616	-0.004891209821541223	-0.0006788407292760641	0.0033	0.9967	0.9812
C2_EP-vs-B2_EP	ar100	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0010631527694512366	-0.0012938267135118842	-0.0012799086146448313	-0.002868394071153249	0.00016436872856097348	0.0433	0.9567	1.0
C2_EP-vs-B2_EP	ar_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-5.2549997848538865e-05	-0.0002093221154670033	-0.0005142361470877599	-0.0045856447790490916	0.007644553208089898	0.3984	0.6016	0.9838
C2_EP-vs-B2_EP	ar_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.001679505083329813	-0.00242799192604866	-0.0019204455578255009	-0.00987510418236437	0.00022081831222967824	0.0497	0.9503	0.9015
C2_EP-vs-B2_EP	ar_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0016093424549307178	-0.0017634273951530695	-0.001707984177266697	-0.003251903594129629	-0.0006094669647504024	0.0003	0.9997	0.9999
C2_EP-vs-B2_EP	prediction_count	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-1811.0	-1810.9526	-1811.0	-1987.0	-1638.0	0.0	1.0	0.0
