model	requested_provider	inference_cpu_events	intended_separate_tail	unexpected_fallback	status
B2	cpu	2586	CPUExecutionProvider	no	pass
B2	spacemit	0	CPUExecutionProvider	no	pass
C2	cpu	2586	CPUExecutionProvider	no	pass
C2	spacemit	0	CPUExecutionProvider	no	pass
