surface	dataset	model_sha256	lineage	quantization	runtime	map50_95	map75	ap_small	ap_medium	ap_large	ar_large	ar100	prediction_count	caveat
accepted-custom-engine	val2017-5000	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	different custom-engine model/export/quantization surface	K1X_INT8_V1	accepted custom executor 0.10.0-internal-rd.1	0.3707408944391919	0.4033156042360903	0.18397294626227842	0.4142627352606523	0.5440433811804918	not-reported	0.593621370936095	721755	application-level cross-surface comparison; not engine-only or quantizer-only
C2-host-reference	val2017-5000	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	same-source YOLO26 split plus common FP32 tail	signed S8-QDQ	host CPU accepted DEV-001C	0.3785087779678713	0.4115699780934227	0.18046106109074492	0.4256318201041861	0.5587231596091323	0.7868536656749086	0.5955340848941426	638745	host-only context; Stage65D board full val gate did not open
