model	profile	event_provider	node_events	unique_profile_nodes
B2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/board/r1-recheck/B2-spacemit-profile/profiles/profile_2026-08-27_00-38-50.json	SpaceMITExecutionProvider	2	1
C2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/board/r1-recheck/C2-spacemit-profile/profiles/profile_2026-08-27_00-39-04.json	SpaceMITExecutionProvider	2	1
