phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_c2	0	0	C2	spacemit	inference	100	100825.3366	2918.7325504508585	2.8948403733381225	100194.50899999999	103558.44290000002	107078.19219999999	110176.86531000001	112156.24943099999	97805.659	112376.181	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	0	C2	spacemit	tail	100	14836.71365	327.57694634244007	2.2078807616701566	14669.152	15303.203800000001	15394.18665	15811.813	15854.1355	14420.482	15858.838	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	0	C2	spacemit	two_stage	100	115662.05025	2974.927194341392	2.5720858206396806	115195.2665	118265.98430000003	121730.68694999999	124806.88858000001	127892.20595799998	112640.143	128235.019	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	1	C2	spacemit	inference	100	101162.11057	1717.4859273604186	1.6977561239907004	100635.9205	103372.7465	103664.30475000001	104007.50697000005	109358.04839699998	98962.956	109952.553	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	1	C2	spacemit	tail	100	14928.72818	328.29609249564135	2.199089490660425	14775.862000000001	15419.313	15465.103650000001	15756.984620000005	16390.273561999995	14612.067	16460.639	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	1	C2	spacemit	two_stage	100	116090.83875	1799.9592611260964	1.5504748527162284	115736.956	118309.98730000001	118701.1198	120442.95553000002	124298.89435299998	113805.235	124727.332	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	0	2	C2	spacemit	inference	100	100453.98895	1662.6499468686643	1.6551358131693827	99934.842	102608.27530000001	102994.63709999999	105793.16767000001	106604.66106700001	97969.018	106694.827	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_c2	0	2	C2	spacemit	tail	100	14817.655200000001	349.401856569368	2.3580104399336275	14666.6705	15325.2187	15428.32005	15859.846000000003	16335.907299999999	14467.23	16388.803	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_c2	0	2	C2	spacemit	two_stage	100	115271.64415	1763.951509303085	1.5302562241653297	114974.04149999999	117403.1668	117686.77775	121009.51175	121310.380175	112569.542	121343.81	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_c2	0	3	C2	spacemit	inference	100	100355.74931	1753.8830517871697	1.7476657429654638	100171.213	102631.39399999999	102888.38105	107183.06566000001	107605.369366	97921.013	107652.292	46	15	1	1152	88412	88412	88412	4	4	11	11
noise_c2	0	3	C2	spacemit	tail	100	14884.81554	323.2142591161605	2.1714361071360684	14734.358499999998	15355.243900000001	15526.43495	15717.357080000002	15771.447908	14526.855	15777.458	46	15	1	1152	88412	88412	88412	4	4	11	11
noise_c2	0	3	C2	spacemit	two_stage	100	115240.56485	1888.6017367836212	1.6388341546588845	115161.9535	117408.4487	117724.08535	122647.44829	122870.31322899999	112761.035	122895.076	46	15	1	1152	88412	88412	88412	4	4	11	11
noise_c2	1	0	C2	spacemit	inference	100	100504.63713999999	1799.8581530356298	1.7908210051328086	100097.0385	102879.3909	103238.26775000001	103708.89927000004	109891.57232699997	98436.679	110578.536	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	0	C2	spacemit	tail	100	14869.18177	337.60497137154977	2.2705013402465775	14708.6695	15414.964199999999	15547.3394	15632.86537	15866.162137	14483.52	15892.084	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	0	C2	spacemit	two_stage	100	115373.81891	1903.3476857259907	1.6497223579040414	115034.5215	117619.12400000001	117996.95795	119113.16928000003	125327.91922799997	113078.492	126018.447	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	1	C2	spacemit	inference	100	100624.72732	1975.3092194044248	1.9630455376268288	99893.465	102861.88329999999	103675.1224	106726.34269	107056.60876899998	98392.961	107093.305	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	1	C2	spacemit	tail	100	14921.23104	378.21820094613065	2.534765395242688	14735.064999999999	15453.0097	15548.052049999998	15863.826020000004	16498.041601999998	14571.02	16568.51	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	1	C2	spacemit	two_stage	100	115545.95835999999	2133.4409920981734	1.8464003608426807	115181.9565	117896.33720000001	119094.91824999999	122347.54361000001	122792.563361	113100.192	122842.01	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_c2	1	2	C2	spacemit	inference	100	100194.94196000001	1770.676663312068	1.7672315874178164	99670.9345	102276.64580000001	102641.64689999999	102999.14585000004	110263.99008499998	98127.494	111071.195	46	15	1	1280	88668	88668	88668	4	4	11	11
