surface	reference_surface	scope_relation	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large
FP32_HOST	B2_HOST	same-scope	0.03596256618502902	0.030441619455777613	0.03722812033969536	0.016642103584378676	0.02118350404381747	0.06283958175631676	0.013995576659379061	0.016351092603685835	0.0167984338543804	0.012796883804609471	0.024565670000408435	0.013438238641830025
B2_HOST	B2_HOST	same-scope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1_HOST	B2_HOST	same-scope	0.0070759247238641465	0.005265764785426397	0.006201377311303935	-0.00030016156092435575	0.0043799421436112596	0.02118180944205106	0.0013807862996179088	-0.0009639331505179038	-0.001896183927644679	1.7263233008102397e-06	-0.0019478888333511746	-0.0035226831544972192
C2_HOST	B2_HOST	same-scope	0.01264954912663352	0.007174381549156839	0.012724183822585888	0.00031421039660825545	0.005676570355646338	0.038616455035753505	0.0017330242266209717	-0.0002504850838817019	-0.0009045638605934547	0.000137312257035338	-0.00030788462241371217	-0.0024025049065128368
B2_BOARD_CPU	B2_BOARD_CPU	same-scope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B2_BOARD_EP	B2_BOARD_EP	same-scope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1_BOARD_CPU	B2_BOARD_CPU	same-scope	0.007308952829442772	0.005258333488624478	0.006268410814105452	-0.0007038689751023008	0.0041081009029976245	0.022367066032463634	0.0012327057292790822	-0.0017744773656473978	-0.0021420288645044305	-0.0013812956657719977	-0.0018111946044692129	-0.003921852513414259
A1_BOARD_EP	B2_BOARD_EP	same-scope	0.006115297854051516	0.004168453648006332	0.006149436020673138	-0.0017569991445323951	0.0036283710992393026	0.02346613787762064	0.002709245616953737	-0.003039296660783064	-0.0030554200463035475	-0.004544382073775444	-0.0026088489795924596	-0.005502747712281986
C2_BOARD_CPU	B2_BOARD_CPU	same-scope	0.012979452981726258	0.006755165337933633	0.01316596025988015	-0.00048811874094259466	0.006352807891260692	0.038650033452102384	0.001876225065318704	-0.000727984153236827	-0.001040476574999838	-0.0015783718569774008	-0.00042150643836291746	-0.002595074645996509
C2_BOARD_EP	B2_BOARD_EP	same-scope	0.012599140369992212	0.006461794024788969	0.01296855070936942	-0.00025386175455635596	0.006319481209317301	0.03994740857473755	0.0029036591438369452	-0.0012216503988172756	-0.0018513111771847335	-0.0034447849931036334	-0.0010429745056204087	-0.003078277927338724
