phase	block	slot	model	provider	inference_create_us	tail_create_us	status
noise_b2	7	2	B2	spacemit	1893320.241000	17524.952000	pass
noise_b2	7	3	B2	spacemit	1908923.163000	17437.408000	pass
noise_c2	0	0	C2	spacemit	1989504.300000	17513.282000	pass
noise_c2	0	1	C2	spacemit	1910132.073000	17606.741000	pass
noise_c2	0	2	C2	spacemit	1941231.666000	17357.069000	pass
noise_c2	0	3	C2	spacemit	1909783.392000	17450.569000	pass
noise_c2	1	0	C2	spacemit	1901928.542000	17486.068000	pass
noise_c2	1	1	C2	spacemit	1901953.988000	17699.320000	pass
noise_c2	1	2	C2	spacemit	1895467.461000	17917.280000	pass
noise_c2	1	3	C2	spacemit	1906957.469000	17702.609000	pass
noise_c2	2	0	C2	spacemit	1908396.198000	17637.024000	pass
noise_c2	2	1	C2	spacemit	1915841.608000	18238.116000	pass
noise_c2	2	2	C2	spacemit	1896917.155000	17592.396000	pass
noise_c2	2	3	C2	spacemit	1966403.774000	17687.397000	pass
noise_c2	3	0	C2	spacemit	1902756.145000	17701.895000	pass
noise_c2	3	1	C2	spacemit	1913724.746000	17620.518000	pass
noise_c2	3	2	C2	spacemit	1912296.286000	17435.848000	pass
noise_c2	3	3	C2	spacemit	1910190.151000	17546.849000	pass
noise_c2	4	0	C2	spacemit	1903272.279000	17483.472000	pass
noise_c2	4	1	C2	spacemit	1910566.752000	17448.679000	pass
noise_c2	4	2	C2	spacemit	1917144.133000	17232.425000	pass
noise_c2	4	3	C2	spacemit	1916420.198000	17799.766000	pass
noise_c2	5	0	C2	spacemit	1920661.632000	17669.554000	pass
noise_c2	5	1	C2	spacemit	1907003.595000	17668.096000	pass
noise_c2	5	2	C2	spacemit	1907858.442000	17543.884000	pass
noise_c2	5	3	C2	spacemit	2039321.719000	24707.531000	pass
noise_c2	6	0	C2	spacemit	1898033.432000	17752.512000	pass
noise_c2	6	1	C2	spacemit	1900953.026000	17491.215000	pass
noise_c2	6	2	C2	spacemit	1902606.103000	17554.173000	pass
noise_c2	6	3	C2	spacemit	1916202.648000	17297.461000	pass
noise_c2	7	0	C2	spacemit	1894345.053000	17546.255000	pass
noise_c2	7	1	C2	spacemit	1955787.130000	18019.137000	pass
noise_c2	7	2	C2	spacemit	1898703.904000	17379.335000	pass
noise_c2	7	3	C2	spacemit	1922142.513000	17739.299000	pass
