artifact	deployable_sha256	inference_sha256	tail_sha256	host_map50_95	board_ep_map50_95	board_ep_ap_small	board_ep_ap_medium	board_ep_ap_large	board_ep_ar_small	board_ep_ar_medium	board_ep_ar_large	placement	performance	stability	disposition
B2	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.3658592288412378	0.36625103775505324	0.17846463529305978	0.4190347001091716	0.5161778221644779	0.3705755588855806	0.6466185120127221	0.7860352349132533	one-925-node-SpacemiT-partition	pass	pass	universal-vendor-control
C2	e963be11c57c048f23caa34df1e2d140211632cc4dfd6b734b14909a30ea4b55	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.3785087779678713	0.37885017812504546	0.17821077353850343	0.4253541813184889	0.5561252307392155	0.36713077389247695	0.6455755375071017	0.7829569569859146	one-925-node-SpacemiT-partition	pass	pass	frozen-higher-AP-waiver-only-not-promoted
A1	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.37293515356510193	0.37236633560910476	0.17670763614852739	0.4226630712084109	0.5396439600420986	0.36603117681180514	0.6440096630331297	0.7805324872009713	historical-accepted	not-rerun-historical-artifact	not-rerun-historical-artifact	historical-frozen-artifact
