model	metric	statistic	blocks	block_ratio_mean	block_ratio_min	block_ratio_max	bootstrap_ci_lower	bootstrap_ci_upper	empirical_abs_noise_floor
C2	inference	median	8	1.0020780759675263	0.9940476859611187	1.0164468721951052	0.997172338644819	1.007468288438657	0.01644687219510521
C2	inference	p95	8	1.005607288930022	0.9698790296228449	1.034283153395617	0.9917381055297181	1.0182642299179359	0.03428315339561694
C2	tail	median	8	0.9992852275696243	0.9964549866722854	1.0019330594911664	0.9980837840636047	1.000494314430534	0.003545013327714619
C2	tail	p95	8	1.0010437420255776	0.9914558882274465	1.0120302356968511	0.9966335989370269	1.0055500043777972	0.012030235696851133
C2	two_stage	median	8	1.0013362323458106	0.9949907725304351	1.0145489919649187	0.9972937382969008	1.0060208845803877	0.014548991964918656
C2	two_stage	p95	8	1.0049567729526845	0.9780050223438828	1.028147504648174	0.994276377644532	1.0149827564782659	0.02814750464817406
