surface	kind	path	bytes	sha256	expected	status
B2	deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2/run1/output/stage65b_r1_b2_split_s8_qdq.onnx	2939171	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	pass
B2	inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.inference.onnx	2762851	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	pass
A1	deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/quantization/A1/run1/output/xslim_dev_001a_a1_split_s8_qdq.onnx	2939171	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	pass
A1	inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/postprocess/A1/models/stage65b_r1_a1.inference.onnx	2762851	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	pass
C2	deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001B-ALL-S8-GENERIC-HARDENING-ADAPTIVE-ROUNDING-BLOCK-RECONSTRUCTION-AND-DETECTOR-PARETO-HOST-GATE-001/candidates/run1/C2_T6_RANK_QP/c2_t6_rank_qp.deployable.onnx	2939171	e963be11c57c048f23caa34df1e2d140211632cc4dfd6b734b14909a30ea4b55	e963be11c57c048f23caa34df1e2d140211632cc4dfd6b734b14909a30ea4b55	pass
C2	inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001B-ALL-S8-GENERIC-HARDENING-ADAPTIVE-ROUNDING-BLOCK-RECONSTRUCTION-AND-DETECTOR-PARETO-HOST-GATE-001/candidates/run1/C2_T6_RANK_QP/c2_t6_rank_qp.inference.onnx	2762851	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	pass
common	tail	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
FP32	inference	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.inference.onnx	9740610	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	pass
FP32_HOST	prediction	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/full-matrix/hybrid-full-coco/H8/predictions.json	78431251	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	pass
B2_HOST	prediction	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/full-matrix/full-coco/B2/predictions.json	69805207	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	pass
