model	metric	samples	mean_us	stddev_us	cv_pct	p50_us	p95_us	p99_us	p999_us	max_us
C2	inference	10000	99899.72650959999	2113.1309966022895	2.115252033647185	99172.614	104187.50079999998	108664.58817	113432.51285400002	119961.389
C2	tail	10000	14760.910089199999	274.72919723798697	1.8611941647080146	14684.557499999999	15336.80005	15766.728470000002	16858.764584000022	21952.367
C2	two_stage	10000	114660.63659879999	2201.8443382917835	1.920314070814105	113873.5355	119077.6275	123864.62407000002	129079.366964	134734.113
