surface	runtime	role	input_sha256	samples	mean_us	median_us	p95_us	p99_us	min_us	max_us	caveat
B2	SpaceMIT EP 2.0.6	inference	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	98949.750688	98660.526	101105.95345	106427.22787	97658.687	108811.063	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
B2	SpaceMIT EP 2.0.6	tail	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	14974.655036	14946.6145	15125.0774	16075.03903	14744.136	18393.5	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
B2	SpaceMIT EP 2.0.6	two-stage	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	113924.40572400001	113626.7785	116146.87429999998	121443.45520999999	112549.17	123821.531	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
C2	SpaceMIT EP 2.0.6	inference	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	99810.029088	99053.06349999999	105761.36274999999	108344.98731	97803.209	111651.491	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
C2	SpaceMIT EP 2.0.6	tail	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	14972.090748	14933.935000000001	15199.5011	15991.10058	14735.366	17358.763	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
C2	SpaceMIT EP 2.0.6	two-stage	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	114782.119836	113990.63949999999	120693.24539999999	123547.73312	112647.163	126626.117	same-source vendor S8-QDQ; common FP32 tail is separate; bound runner does not emit per-run FNV; final output SHA is identity-bound
accepted-custom-engine	K1X_INT8_V1 0.10.0-internal-rd.1	custom-pure-executor	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	130181.16684	129917.515	132784.92599999998	134980.5921	129236.7	137587.87	different model/export/quantization/runtime surface; application context only
accepted-custom-engine	K1X_INT8_V1 0.10.0-internal-rd.1	custom-total-model-to-1x300x6	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	132371.358	132103.5	134963.4	137118.93	131408.0	139717.0	different model/export/quantization/runtime surface; application context only
accepted-custom-engine	K1X_INT8_V1 0.10.0-internal-rd.1	custom-input-quantize-layout	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	500	2190.1911600000003	2181.15	2255.8089999999997	2942.665499999999	2119.8	3464.16	different model/export/quantization/runtime surface; application context only
