model	opt_level	exit_code	session_create_us	first_run_us	mean_us	median_us	p95_us	output_sha256	profile_output_sha256	profile_output_equal_to_unprofiled	output_equal_to_disable	tail_median_us_reference	projected_two_stage_median_us	two_stage_measurement_kind	boundary_count	boundary_manifest_sha256	six_boundary_equal_to_disable	six_boundary_equal_to_accepted_fixture	fused_subgraphs	partition_evidence	partition_nodes	partition_inputs	partition_outputs	unexpected_cpu_events	partition_sha256	partition_topology_sha256	partition_topology_equal_to_disable	decision
B2	disable	0	1804491.730000	246355.310000	98801.257360	98801.257360	98801.257360	5a44c6816074c365bf0e1a9c3ce15630a6b41c13ec6acee9eafcd32bc6dc5604	5a44c6816074c365bf0e1a9c3ce15630a6b41c13ec6acee9eafcd32bc6dc5604	yes	yes	14700.666000000001	113501.92336	unprofiled-main-plus-exact-accepted-tail-reference	6	03a3d6b498308cb5558897fc9abf84e294b27c06b19647dc0e96442da57bc548	yes	yes	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	9e79b2b7786a85f0cd527d455bdfdf50f0d47b2905e8d9d008c2d9b20ba44ac8	9e79b2b7786a85f0cd527d455bdfdf50f0d47b2905e8d9d008c2d9b20ba44ac8	yes	pass
B2	basic	0	3111696.039000	243322.204000	99265.738920	99265.738920	99265.738920	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	yes	no	14700.666000000001	113966.40492	unprofiled-main-plus-exact-accepted-tail-reference	6	b5ff0f36d26ec3155c86c75c890089d4a50b0d2810a651f53717a4eb0819c8e6	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	no	reject-partition-topology-drift
B2	extended	0	3098468.835000	242886.974000	98243.038890	98243.038890	98243.038890	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	yes	no	14700.666000000001	112943.70489	unprofiled-main-plus-exact-accepted-tail-reference	6	b5ff0f36d26ec3155c86c75c890089d4a50b0d2810a651f53717a4eb0819c8e6	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	no	reject-partition-topology-drift
B2	all	0	3126155.581000	243154.683000	99492.917010	99492.917010	99492.917010	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	0251db2a5216df55e8808cfa1dc2945768c653734e64416f092f23e8f144cf0f	yes	no	14700.666000000001	114193.58301	unprofiled-main-plus-exact-accepted-tail-reference	6	b5ff0f36d26ec3155c86c75c890089d4a50b0d2810a651f53717a4eb0819c8e6	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	cf6a9fb519cbbd07b0533c4e0fda7b9b2440a289a730ca8f2eb8c2c624d8d57e	no	reject-partition-topology-drift
C2	disable	0	1791680.586000	239018.904000	98920.586360	98920.586360	98920.586360	9e01e979bb9fe052ac210dc35b578f228b932e7d40967ffefb739070e21c16c5	9e01e979bb9fe052ac210dc35b578f228b932e7d40967ffefb739070e21c16c5	yes	yes	14721.511	113642.09736	unprofiled-main-plus-exact-accepted-tail-reference	6	fcfebc8ddb8b2a84c3b6e2bd9e5952b03d38aa2547004a20540f91f3b857bdfd	yes	yes	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	7813cbcc739b953bf2c839d26591e75a5879f436a56cb6929143af1a543166fc	7813cbcc739b953bf2c839d26591e75a5879f436a56cb6929143af1a543166fc	yes	pass
C2	basic	0	3125213.878000	244944.996000	98520.358420	98520.358420	98520.358420	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	yes	no	14721.511	113241.86942	unprofiled-main-plus-exact-accepted-tail-reference	6	4bcde148168521cf52f95a29149ce31144082b8df6c9d81b6e731413092ec1ea	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	no	reject-partition-topology-drift
C2	extended	0	3121432.506000	245046.387000	99304.923240	99304.923240	99304.923240	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	yes	no	14721.511	114026.43424	unprofiled-main-plus-exact-accepted-tail-reference	6	4bcde148168521cf52f95a29149ce31144082b8df6c9d81b6e731413092ec1ea	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	no	reject-partition-topology-drift
C2	all	0	3129767.264000	243590.713000	98385.860810	98385.860810	98385.860810	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	40062a64fa21cd03637eb00ff57755fbb62866fd010d9911eb04251148031cef	yes	no	14721.511	113107.37181	unprofiled-main-plus-exact-accepted-tail-reference	6	4bcde148168521cf52f95a29149ce31144082b8df6c9d81b6e731413092ec1ea	no	no	1	current-single-EP-profile-matched-accepted-925-node-partition-contract	925	1	6	0	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	0fc7e4c06bc6da440924b8e45de77990af2a3194cd4daade1e19d9e9b8109c0a	no	reject-partition-topology-drift
