surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.05	0.5	100	small	6653	10183	8611	0.39516512235685436	0.43586215932914046	0.4145171339563863	62002	12.4004	45166	21517
FP32_HOST	FP32	host	CPU	0.05	0.75	100	small	3970	11879	11294	0.25048898984163037	0.26008909853249473	0.2551987915019445	62002	12.4004	46153	21517
FP32_HOST	FP32	host	CPU	0.25	0.5	100	small	3236	794	12028	0.8029776674937965	0.2120020964360587	0.3354410697626205	23008	4.6016	18978	21517
FP32_HOST	FP32	host	CPU	0.25	0.75	100	small	2257	1368	13007	0.6226206896551724	0.14786425576519915	0.23897506485255968	23008	4.6016	19383	21517
FP32_HOST	FP32	host	CPU	0.5	0.5	100	small	1534	103	13730	0.937080024434942	0.1004979035639413	0.18152772025323943	14238	2.8476	12601	21517
FP32_HOST	FP32	host	CPU	0.5	0.75	100	small	1214	270	14050	0.8180592991913747	0.07953354297693921	0.1449725340339145	14238	2.8476	12754	21517
FP32_HOST	FP32	host	CPU	0.001	0.5	300	all	30937	654005	5398	0.04516732803653448	0.8514380074308519	0.08578396371990235	732374	146.4748	47432	446
FP32_HOST	FP32	host	CPU	0.001	0.75	300	all	23978	662181	12357	0.03494525321390523	0.659914682812715	0.06637563772155892	732374	146.4748	46215	446
FP32_HOST	FP32	host	CPU	0.01	0.5	300	all	28211	146650	8124	0.16133385946551831	0.7764139259666988	0.26715468095986666	198333	39.6666	23472	446
FP32_HOST	FP32	host	CPU	0.01	0.75	300	all	21686	153174	14649	0.12401921537229783	0.5968350075684602	0.20536471033878642	198333	39.6666	23473	446
FP32_HOST	FP32	host	CPU	0.05	0.5	300	all	23872	32546	12463	0.42312737069729517	0.6569973854410348	0.5147434584326113	62002	12.4004	5584	446
FP32_HOST	FP32	host	CPU	0.05	0.75	300	all	18747	37211	17588	0.3350191214839701	0.515948809687629	0.4062496614044402	62002	12.4004	6044	446
FP32_HOST	FP32	host	CPU	0.25	0.5	300	all	17404	4836	18931	0.7825539568345323	0.47898720242190723	0.5942466922748613	23008	4.6016	768	446
FP32_HOST	FP32	host	CPU	0.25	0.75	300	all	14658	7367	21677	0.665516458569807	0.40341268749139947	0.5023303632625086	23008	4.6016	983	446
FP32_HOST	FP32	host	CPU	0.5	0.5	300	all	12792	1234	23543	0.9120205332953087	0.3520572450805009	0.508012152260678	14238	2.8476	212	446
FP32_HOST	FP32	host	CPU	0.5	0.75	300	all	11390	2550	24945	0.8170731707317073	0.31347185908903263	0.45310790651417215	14238	2.8476	298	446
FP32_HOST	FP32	host	CPU	0.001	0.5	300	large	8473	134510	206	0.059258793003364035	0.9762645466067519	0.11173530614128785	732374	146.4748	589391	28102
FP32_HOST	FP32	host	CPU	0.001	0.75	300	large	7902	135788	777	0.05499338854478391	0.9104735568613895	0.10372188568540845	732374	146.4748	588684	28102
