surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	category_id	class_name	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.01	0.5	100	small	1	person	3206	15690	1102	0.16966553767993225	0.744196843082637	0.2763316669539735	50212	10.0424	31316	6696
FP32_HOST	FP32	host	CPU	0.01	0.75	100	small	1	person	1801	16713	2507	0.09727773576752728	0.4180594243268338	0.15783016387696083	50212	10.0424	31698	6696
FP32_HOST	FP32	host	CPU	0.05	0.5	100	small	1	person	2510	2922	1798	0.46207658321060385	0.5826369545032498	0.5154004106776181	18766	3.7532	13334	6696
FP32_HOST	FP32	host	CPU	0.05	0.75	100	small	1	person	1451	3593	2857	0.2876685170499603	0.33681522748375115	0.3103079555175363	18766	3.7532	13722	6696
FP32_HOST	FP32	host	CPU	0.25	0.5	100	small	1	person	1399	234	2909	0.8567054500918555	0.32474466109563604	0.470964484093587	8397	1.6794	6764	6696
FP32_HOST	FP32	host	CPU	0.25	0.75	100	small	1	person	914	508	3394	0.6427566807313643	0.21216341689879295	0.31902268760907504	8397	1.6794	6975	6696
FP32_HOST	FP32	host	CPU	0.5	0.5	100	small	1	person	686	22	3622	0.9689265536723164	0.15923862581244197	0.273524720893142	5741	1.1482	5033	6696
FP32_HOST	FP32	host	CPU	0.5	0.75	100	small	1	person	514	111	3794	0.8224	0.11931290622098421	0.20839245894992905	5741	1.1482	5116	6696
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	2	bicycle	248	7821	66	0.030734911389267566	0.7898089171974523	0.05916736251938447	8125	1.625	56	2
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	2	bicycle	158	7929	156	0.019537529368121677	0.5031847133757962	0.037614569694084034	8125	1.625	38	2
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	2	bicycle	210	1663	104	0.11211959423384944	0.6687898089171974	0.19204389574759947	1906	0.3812	33	2
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	2	bicycle	133	1748	181	0.0707070707070707	0.42356687898089174	0.12118451025056946	1906	0.3812	25	2
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	2	bicycle	169	255	145	0.39858490566037735	0.5382165605095541	0.45799457994579945	432	0.0864	8	2
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	2	bicycle	105	322	209	0.2459016393442623	0.3343949044585987	0.28340080971659914	432	0.0864	5	2
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	2	bicycle	115	32	199	0.782312925170068	0.3662420382165605	0.4989154013015184	148	0.0296	1	2
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	2	bicycle	82	66	232	0.5540540540540541	0.2611464968152866	0.35497835497835495	148	0.0296	0	2
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	2	bicycle	74	4	240	0.9487179487179487	0.2356687898089172	0.3775510204081633	78	0.0156	0	2
FP32_HOST	FP32	host	CPU	0.5	0.75	100	all	2	bicycle	59	19	255	0.7564102564102564	0.18789808917197454	0.3010204081632653	78	0.0156	0	2
FP32_HOST	FP32	host	CPU	0.001	0.5	100	large	2	bicycle	48	1449	2	0.03206412825651302	0.96	0.06205559146735617	8125	1.625	6628	266
FP32_HOST	FP32	host	CPU	0.001	0.75	100	large	2	bicycle	41	1464	9	0.02724252491694352	0.82	0.052733118971061095	8125	1.625	6620	266
FP32_HOST	FP32	host	CPU	0.01	0.5	100	large	2	bicycle	48	342	2	0.12307692307692308	0.96	0.21818181818181817	1906	0.3812	1516	266
FP32_HOST	FP32	host	CPU	0.01	0.75	100	large	2	bicycle	39	357	11	0.09848484848484848	0.78	0.1748878923766816	1906	0.3812	1510	266
FP32_HOST	FP32	host	CPU	0.05	0.5	100	large	2	bicycle	46	88	4	0.34328358208955223	0.92	0.5	432	0.0864	298	266
FP32_HOST	FP32	host	CPU	0.05	0.75	100	large	2	bicycle	38	100	12	0.2753623188405797	0.76	0.40425531914893614	432	0.0864	294	266
FP32_HOST	FP32	host	CPU	0.25	0.5	100	large	2	bicycle	43	19	7	0.6935483870967742	0.86	0.7678571428571428	148	0.0296	86	266
FP32_HOST	FP32	host	CPU	0.25	0.75	100	large	2	bicycle	36	28	14	0.5625	0.72	0.631578947368421	148	0.0296	84	266
FP32_HOST	FP32	host	CPU	0.5	0.5	100	large	2	bicycle	35	2	15	0.9459459459459459	0.7	0.8045977011494254	78	0.0156	41	266
FP32_HOST	FP32	host	CPU	0.5	0.75	100	large	2	bicycle	32	6	18	0.8421052631578947	0.64	0.7272727272727272	78	0.0156	40	266
FP32_HOST	FP32	host	CPU	0.001	0.5	100	medium	2	bicycle	111	3063	12	0.03497164461247637	0.9024390243902439	0.06733393994540492	8125	1.625	4951	193
FP32_HOST	FP32	host	CPU	0.001	0.75	100	medium	2	bicycle	80	3129	43	0.024929884699283266	0.6504065040650406	0.048019207683073224	8125	1.625	4916	193
FP32_HOST	FP32	host	CPU	0.01	0.5	100	medium	2	bicycle	98	755	25	0.11488862837045721	0.7967479674796748	0.20081967213114754	1906	0.3812	1053	193
FP32_HOST	FP32	host	CPU	0.01	0.75	100	medium	2	bicycle	65	810	58	0.07428571428571429	0.5284552845528455	0.13026052104208416	1906	0.3812	1031	193
FP32_HOST	FP32	host	CPU	0.05	0.5	100	medium	2	bicycle	87	128	36	0.4046511627906977	0.7073170731707317	0.5147928994082841	432	0.0864	217	193
FP32_HOST	FP32	host	CPU	0.05	0.75	100	medium	2	bicycle	55	178	68	0.23605150214592274	0.44715447154471544	0.3089887640449438	432	0.0864	199	193
FP32_HOST	FP32	host	CPU	0.25	0.5	100	medium	2	bicycle	63	13	60	0.8289473684210527	0.5121951219512195	0.6331658291457286	148	0.0296	72	193
FP32_HOST	FP32	host	CPU	0.25	0.75	100	medium	2	bicycle	44	38	79	0.5365853658536586	0.35772357723577236	0.4292682926829268	148	0.0296	66	193
FP32_HOST	FP32	host	CPU	0.5	0.5	100	medium	2	bicycle	33	2	90	0.9428571428571428	0.2682926829268293	0.4177215189873418	78	0.0156	43	193
FP32_HOST	FP32	host	CPU	0.5	0.75	100	medium	2	bicycle	25	13	98	0.6578947368421053	0.2032520325203252	0.31055900621118016	78	0.0156	40	193
FP32_HOST	FP32	host	CPU	0.001	0.5	100	small	2	bicycle	89	3309	52	0.026191877575044143	0.6312056737588653	0.050296693981350664	8125	1.625	4727	175
FP32_HOST	FP32	host	CPU	0.001	0.75	100	small	2	bicycle	37	3336	104	0.010969463385710051	0.2624113475177305	0.021058622652248154	8125	1.625	4752	175
FP32_HOST	FP32	host	CPU	0.01	0.5	100	small	2	bicycle	64	566	77	0.10158730158730159	0.45390070921985815	0.16601815823605706	1906	0.3812	1276	175
FP32_HOST	FP32	host	CPU	0.01	0.75	100	small	2	bicycle	29	581	112	0.047540983606557376	0.20567375886524822	0.07723035952063914	1906	0.3812	1296	175
FP32_HOST	FP32	host	CPU	0.05	0.5	100	small	2	bicycle	36	39	105	0.48	0.2553191489361702	0.3333333333333333	432	0.0864	357	175
FP32_HOST	FP32	host	CPU	0.05	0.75	100	small	2	bicycle	12	44	129	0.21428571428571427	0.0851063829787234	0.1218274111675127	432	0.0864	376	175
FP32_HOST	FP32	host	CPU	0.25	0.5	100	small	2	bicycle	9	0	132	1.0	0.06382978723404255	0.12	148	0.0296	139	175
FP32_HOST	FP32	host	CPU	0.25	0.75	100	small	2	bicycle	2	0	139	1.0	0.014184397163120567	0.027972027972027972	148	0.0296	146	175
FP32_HOST	FP32	host	CPU	0.5	0.5	100	small	2	bicycle	6	0	135	1.0	0.0425531914893617	0.08163265306122448	78	0.0156	72	175
FP32_HOST	FP32	host	CPU	0.5	0.75	100	small	2	bicycle	2	0	139	1.0	0.014184397163120567	0.027972027972027972	78	0.0156	76	175
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	3	car	1620	41138	298	0.03788764675616259	0.8446298227320125	0.072522159548751	43677	8.7354	919	14
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	3	car	1141	41626	777	0.02667944910795707	0.5948905109489051	0.051068591249860136	43677	8.7354	910	14
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	3	car	1487	10828	431	0.12074705643524157	0.7752867570385819	0.20895102929811005	13072	2.6144	757	14
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	3	car	1035	11278	883	0.08405750020303744	0.5396246089676746	0.14545710069566437	13072	2.6144	759	14
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	3	car	1252	2174	666	0.36544074722708697	0.6527632950990615	0.46856287425149695	3635	0.727	209	14
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	3	car	905	2506	1013	0.2653180885370859	0.47184567257559956	0.33965096641020825	3635	0.727	224	14
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	3	car	886	283	1032	0.757912745936698	0.4619395203336809	0.5740200842241658	1194	0.2388	25	14
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	3	car	710	450	1208	0.6120689655172413	0.37017726798748696	0.4613385315139701	1194	0.2388	34	14
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	3	car	585	56	1333	0.9126365054602185	0.30500521376433787	0.45720984759671746	645	0.129	4	14
FP32_HOST	FP32	host	CPU	0.5	0.75	100	all	3	car	519	121	1399	0.8109375	0.2705943691345151	0.40578577013291633	645	0.129	5	14
FP32_HOST	FP32	host	CPU	0.001	0.5	100	large	3	car	175	3204	3	0.05179047055341817	0.9831460674157303	0.09839752600506044	43677	8.7354	40298	1754
FP32_HOST	FP32	host	CPU	0.001	0.75	100	large	3	car	165	3226	13	0.04865821291654379	0.9269662921348315	0.09246287475483328	43677	8.7354	40286	1754
FP32_HOST	FP32	host	CPU	0.01	0.5	100	large	3	car	171	760	7	0.1836734693877551	0.9606741573033708	0.3083859332732191	13072	2.6144	12141	1754
FP32_HOST	FP32	host	CPU	0.01	0.75	100	large	3	car	157	788	21	0.16613756613756614	0.8820224719101124	0.27960819234194123	13072	2.6144	12127	1754
FP32_HOST	FP32	host	CPU	0.05	0.5	100	large	3	car	161	217	17	0.42592592592592593	0.9044943820224719	0.579136690647482	3635	0.727	3257	1754
FP32_HOST	FP32	host	CPU	0.05	0.75	100	large	3	car	150	239	28	0.3856041131105398	0.8426966292134831	0.5291005291005291	3635	0.727	3246	1754
FP32_HOST	FP32	host	CPU	0.25	0.5	100	large	3	car	145	53	33	0.7323232323232324	0.8146067415730337	0.7712765957446809	1194	0.2388	996	1754
FP32_HOST	FP32	host	CPU	0.25	0.75	100	large	3	car	136	67	42	0.6699507389162561	0.7640449438202247	0.7139107611548555	1194	0.2388	991	1754
FP32_HOST	FP32	host	CPU	0.5	0.5	100	large	3	car	126	16	52	0.8873239436619719	0.7078651685393258	0.7875000000000001	645	0.129	503	1754
FP32_HOST	FP32	host	CPU	0.5	0.75	100	large	3	car	120	24	58	0.8333333333333334	0.6741573033707865	0.7453416149068324	645	0.129	501	1754
FP32_HOST	FP32	host	CPU	0.001	0.5	100	medium	3	car	527	10202	20	0.0491192096187902	0.9634369287020109	0.09347286271727563	43677	8.7354	32948	1385
FP32_HOST	FP32	host	CPU	0.001	0.75	100	medium	3	car	450	10324	97	0.04176721737516243	0.8226691042047533	0.07949827753732003	43677	8.7354	32903	1385
FP32_HOST	FP32	host	CPU	0.01	0.5	100	medium	3	car	505	2712	42	0.15697855144544606	0.923217550274223	0.2683315621679065	13072	2.6144	9855	1385
FP32_HOST	FP32	host	CPU	0.01	0.75	100	medium	3	car	420	2835	127	0.12903225806451613	0.7678244972577697	0.22093634928984746	13072	2.6144	9817	1385
FP32_HOST	FP32	host	CPU	0.05	0.5	100	medium	3	car	469	676	78	0.4096069868995633	0.8574040219378428	0.5543735224586289	3635	0.727	2490	1385
FP32_HOST	FP32	host	CPU	0.05	0.75	100	medium	3	car	391	779	156	0.33418803418803417	0.7148080438756855	0.4554455445544554	3635	0.727	2465	1385
FP32_HOST	FP32	host	CPU	0.25	0.5	100	medium	3	car	402	122	145	0.767175572519084	0.7349177330895795	0.7507002801120448	1194	0.2388	670	1385
FP32_HOST	FP32	host	CPU	0.25	0.75	100	medium	3	car	345	194	202	0.640074211502783	0.6307129798903108	0.6353591160220996	1194	0.2388	655	1385
FP32_HOST	FP32	host	CPU	0.5	0.5	100	medium	3	car	315	31	232	0.9104046242774566	0.5758683729433273	0.7054871220604705	645	0.129	299	1385
FP32_HOST	FP32	host	CPU	0.5	0.75	100	medium	3	car	288	67	259	0.8112676056338028	0.526508226691042	0.6385809312638582	645	0.129	290	1385
FP32_HOST	FP32	host	CPU	0.001	0.5	100	small	3	car	918	27733	275	0.03204076646539388	0.7694886839899413	0.061519903498190594	43677	8.7354	15026	739
FP32_HOST	FP32	host	CPU	0.001	0.75	100	small	3	car	526	28076	667	0.018390322355080063	0.44090528080469404	0.03530793757341835	43677	8.7354	15075	739
FP32_HOST	FP32	host	CPU	0.01	0.5	100	small	3	car	811	7357	382	0.09928991185112634	0.6797988264878457	0.17327208631556457	13072	2.6144	4904	739
FP32_HOST	FP32	host	CPU	0.01	0.75	100	small	3	car	458	7655	735	0.05645260692715395	0.38390611902766136	0.09843111970771545	13072	2.6144	4959	739
FP32_HOST	FP32	host	CPU	0.05	0.5	100	small	3	car	623	1281	570	0.3272058823529412	0.5222129086336965	0.40232483048111073	3635	0.727	1731	739
FP32_HOST	FP32	host	CPU	0.05	0.75	100	small	3	car	364	1488	829	0.19654427645788336	0.30511316010058676	0.23908045977011497	3635	0.727	1783	739
FP32_HOST	FP32	host	CPU	0.25	0.5	100	small	3	car	341	108	852	0.7594654788418709	0.28583403185247275	0.41534713763702796	1194	0.2388	745	739
FP32_HOST	FP32	host	CPU	0.25	0.75	100	small	3	car	229	189	964	0.5478468899521531	0.19195305951383068	0.28429546865301053	1194	0.2388	776	739
FP32_HOST	FP32	host	CPU	0.5	0.5	100	small	3	car	146	9	1047	0.9419354838709677	0.12238055322715842	0.21661721068249257	645	0.129	490	739
FP32_HOST	FP32	host	CPU	0.5	0.75	100	small	3	car	111	30	1082	0.7872340425531915	0.09304274937133278	0.16641679160419792	645	0.129	504	739
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	4	motorcycle	322	5464	45	0.05565157276183892	0.8773841961852861	0.10466439135381114	6004	1.2008	218	4
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	4	motorcycle	241	5542	126	0.04167387169289296	0.6566757493188011	0.0783739837398374	6004	1.2008	221	4
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	4	motorcycle	303	1408	64	0.17708942139099942	0.8256130790190735	0.29162656400384984	1852	0.3704	141	4
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	4	motorcycle	223	1482	144	0.130791788856305	0.6076294277929155	0.21525096525096526	1852	0.3704	147	4
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	4	motorcycle	255	304	112	0.4561717352415027	0.6948228882833788	0.550755939524838	599	0.1198	40	4
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	4	motorcycle	183	367	184	0.3327272727272727	0.4986376021798365	0.3991275899672846	599	0.1198	49	4
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	4	motorcycle	199	32	168	0.8614718614718615	0.5422343324250681	0.6655518394648829	236	0.0472	5	4
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	4	motorcycle	158	70	209	0.6929824561403509	0.4305177111716621	0.5310924369747899	236	0.0472	8	4
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	4	motorcycle	144	9	223	0.9411764705882353	0.3923705722070845	0.5538461538461539	153	0.0306	0	4
FP32_HOST	FP32	host	CPU	0.5	0.75	100	all	4	motorcycle	125	25	242	0.8333333333333334	0.3405994550408719	0.48355899419729204	153	0.0306	3	4
FP32_HOST	FP32	host	CPU	0.001	0.5	100	large	4	motorcycle	133	1507	5	0.08109756097560976	0.9637681159420289	0.14960629921259844	6004	1.2008	4364	233
FP32_HOST	FP32	host	CPU	0.001	0.75	100	large	4	motorcycle	116	1534	22	0.0703030303030303	0.8405797101449275	0.1297539149888143	6004	1.2008	4354	233
FP32_HOST	FP32	host	CPU	0.01	0.5	100	large	4	motorcycle	127	412	11	0.23562152133580705	0.9202898550724637	0.37518463810930575	1852	0.3704	1313	233
FP32_HOST	FP32	host	CPU	0.01	0.75	100	large	4	motorcycle	111	437	27	0.20255474452554745	0.8043478260869565	0.3236151603498542	1852	0.3704	1304	233
FP32_HOST	FP32	host	CPU	0.05	0.5	100	large	4	motorcycle	120	137	18	0.4669260700389105	0.8695652173913043	0.6075949367088608	599	0.1198	342	233
FP32_HOST	FP32	host	CPU	0.05	0.75	100	large	4	motorcycle	104	163	34	0.3895131086142322	0.7536231884057971	0.5135802469135802	599	0.1198	332	233
FP32_HOST	FP32	host	CPU	0.25	0.5	100	large	4	motorcycle	115	19	23	0.8582089552238806	0.8333333333333334	0.8455882352941176	236	0.0472	102	233
FP32_HOST	FP32	host	CPU	0.25	0.75	100	large	4	motorcycle	99	39	39	0.717391304347826	0.717391304347826	0.717391304347826	236	0.0472	98	233
FP32_HOST	FP32	host	CPU	0.5	0.5	100	large	4	motorcycle	97	4	41	0.9603960396039604	0.7028985507246377	0.8117154811715481	153	0.0306	52	233
FP32_HOST	FP32	host	CPU	0.5	0.75	100	large	4	motorcycle	87	16	51	0.8446601941747572	0.6304347826086957	0.7219917012448134	153	0.0306	50	233
FP32_HOST	FP32	host	CPU	0.001	0.5	100	medium	4	motorcycle	128	2242	10	0.0540084388185654	0.927536231884058	0.10207336523125995	6004	1.2008	3634	233
FP32_HOST	FP32	host	CPU	0.001	0.75	100	medium	4	motorcycle	93	2281	45	0.039174389216512215	0.6739130434782609	0.07404458598726114	6004	1.2008	3630	233
FP32_HOST	FP32	host	CPU	0.01	0.5	100	medium	4	motorcycle	125	637	13	0.16404199475065617	0.9057971014492754	0.2777777777777778	1852	0.3704	1090	233
