surface	dataset	model_sha256	lineage	quantization	runtime	map50_95	map75	ap_small	ap_medium	ap_large	ar_large	ar100	prediction_count	caveat
accepted-custom-engine	val2017-5000	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	different custom-engine model/export/quantization surface	K1X_INT8_V1	accepted custom executor 0.10.0-internal-rd.1	0.3707408944391919	0.4033156042360903	0.18397294626227842	0.4142627352606523	0.5440433811804918	not-reported	0.593621370936095	721755	application-level cross-surface comparison; not engine-only or quantizer-only
B2_BOARD_EP	val2017-5000	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	same-source YOLO26 split plus common FP32 tail	signed S8-QDQ	SpaceMIT EP 2.0.6	0.36625103775505324	0.3978517454757546	0.17846463529305978	0.4190347001091716	0.5161778221644779	0.7860352349132533	0.5965019402971384	652039	same-source vendor comparison; frozen Stage65D-R1 prediction evidence
C2_BOARD_EP	val2017-5000	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b	same-source YOLO26 split plus common FP32 tail	signed S8-QDQ	SpaceMIT EP 2.0.6	0.37885017812504546	0.410820296185124	0.17821077353850343	0.4253541813184889	0.5561252307392155	0.7829569569859146	0.5946506291199537	633640	same-source vendor comparison; frozen Stage65D-R1 prediction evidence
