field	actual	expected	status
hostname	bf3	bf3	pass
serial	92262f3b0dc4	92262f3b0dc4	pass
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9	live-captured	pass
os	Bianbu 2.2.1	Bianbu 2.2.1	pass
kernel	6.6.63	6.6.63	pass
data_mount	/dev/nvme0n1p1 ext4   /data	non-mmc /data	pass
data_writable	yes	yes	pass
data_free_bytes	435584962560	>=20GiB	pass
stage_root	absent	absent	pass
