phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
abba	0	0	B2	spacemit	inference	100	100988.65938999999	2924.613069519933	2.895981674759742	99945.92000000001	102972.8687	105024.12529999999	114195.30053000001	115296.89105299998	98190.375	115419.29	47	16	1	1408	88280	88280	88280	4	4	11	11
abba	0	0	B2	spacemit	tail	100	14976.41343	710.996169524911	4.747439517799896	14721.4415	15428.655999999999	15566.75115	17131.90090000002	20100.793089999985	14514.46	20430.67	47	16	1	1408	88280	88280	88280	4	4	11	11
abba	0	0	B2	spacemit	two_stage	100	115965.07282	3283.1577550944917	2.831160861848965	115188.39	117746.5591	121392.53624999999	129514.77890000002	131971.96979	112781.585	132244.991	47	16	1	1408	88280	88280	88280	4	4	11	11
abba	0	1	C2	spacemit	inference	100	101526.24906	3395.726667708736	3.3446785428878876	100382.79800000001	104856.8008	106717.00505	112581.64968000003	119831.15356799997	97885.658	120636.654	47	16	1	1408	88924	88924	88924	4	4	11	11
abba	0	1	C2	spacemit	tail	100	15026.684159999999	737.0849430140564	4.905173590965104	14715.3785	15488.2983	15888.237199999996	17818.63227000001	18947.286026999995	14444.166	19072.692	47	16	1	1408	88924	88924	88924	4	4	11	11
abba	0	1	C2	spacemit	two_stage	100	116552.93322	3844.1851216537048	3.2982311259362267	115340.97200000001	120329.4369	123643.4932	130272.33043000003	135514.121743	112811.581	136096.543	47	16	1	1408	88924	88924	88924	4	4	11	11
abba	0	2	C2	spacemit	inference	100	100207.34088999999	2093.9589421265823	2.0896262923742994	99491.1165	102541.8921	104816.5127	106736.54443000001	107825.473843	97910.614	107946.466	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	0	2	C2	spacemit	tail	100	14882.62285	369.059458884731	2.4798011923330505	14718.961500000001	15394.7633	15437.040100000002	15965.779630000005	16764.795463	14537.042	16853.575	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	0	2	C2	spacemit	two_stage	100	115089.96373999999	2217.8736540928435	1.9270782455916373	114322.579	117502.16459999999	119543.83064999999	121393.36091	124459.372991	112474.949	124800.041	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	0	3	B2	spacemit	inference	100	100283.87164000001	1811.9719073358604	1.806842793066959	99666.3245	102566.344	103526.68285000001	106002.11014	107847.918214	98145.032	108053.008	46	15	1	1408	88540	88540	88540	4	4	11	11
abba	0	3	B2	spacemit	tail	100	14820.979029999999	325.7711460736672	2.1980406652911055	14644.8345	15324.6742	15397.4454	15558.881710000001	15903.405571	14482.041	15941.686	46	15	1	1408	88540	88540	88540	4	4	11	11
abba	0	3	B2	spacemit	two_stage	100	115104.85067	1922.2746482143018	1.6700205395560346	114402.305	117330.7272	118162.89899999999	120617.46641000002	123656.97124099999	112702.865	123994.694	46	15	1	1408	88540	88540	88540	4	4	11	11
abba	1	0	C2	spacemit	inference	100	100482.24213	2059.4084671106175	2.0495247950839266	99773.364	103057.324	104341.76765	105409.42678000001	108713.85887799997	97878.318	109081.018	47	16	1	1408	88536	88536	88536	4	4	11	11
abba	1	0	C2	spacemit	tail	100	14885.753700000001	349.1754369250333	2.345702098544283	14714.585500000001	15353.198600000002	15438.23765	15586.389990000005	16555.440699	14557.959	16663.113	47	16	1	1408	88536	88536	88536	4	4	11	11
abba	1	0	C2	spacemit	two_stage	100	115367.99583	2162.6776253169373	1.8745906174046236	114650.2025	118207.7518	119113.7196	120044.51886000003	123913.85208599998	112523.319	124343.778	47	16	1	1408	88536	88536	88536	4	4	11	11
abba	1	1	B2	spacemit	inference	100	100554.54385	1654.1641437704682	1.6450416663796223	100061.80350000001	102534.0847	102992.79755	106240.68853999999	106493.513354	98572.824	106521.605	47	16	1	1408	88540	88540	88540	4	4	11	11
abba	1	1	B2	spacemit	tail	100	14852.186950000001	307.58467954873566	2.0709723125908783	14686.6475	15338.198199999999	15417.695	15566.209680000002	15709.810367999999	14518.957	15725.766	47	16	1	1408	88540	88540	88540	4	4	11	11
abba	1	1	B2	spacemit	two_stage	100	115406.7308	1732.9916511828658	1.5016382832870834	115058.35	117628.2426	117960.88380000001	121020.75756000001	121376.04915600001	113198.783	121415.526	47	16	1	1408	88540	88540	88540	4	4	11	11
abba	1	2	B2	spacemit	inference	100	103213.49493	4150.197979096247	4.020983866412949	102111.93350000001	109590.254	109871.6476	110842.38293	113553.51149299998	98439.195	113854.748	47	16	1	1280	88540	88540	88540	4	4	11	11
abba	1	2	B2	spacemit	tail	100	14922.64267	473.12873948969985	3.170542577159357	14727.21	15403.9607	15504.187499999998	16864.250570000004	17269.884557	14488.123	17314.955	47	16	1	1280	88540	88540	88540	4	4	11	11
abba	1	2	B2	spacemit	two_stage	100	118136.1376	4281.981801016679	3.624616385813412	116815.435	124466.2495	125008.6109	126825.96134000002	128914.941134	113055.694	129147.05	47	16	1	1280	88540	88540	88540	4	4	11	11
abba	1	3	C2	spacemit	inference	100	100457.41361999999	2058.2464039163738	2.048874572564746	99961.2555	102837.50809999999	103650.79209999999	109068.09407	109354.11130700001	98265.231	109385.891	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	1	3	C2	spacemit	tail	100	14880.229159999999	321.0323299998078	2.157442110251801	14716.043	15385.8681	15473.98075	15640.216870000002	15921.850386999999	14545.082	15953.143	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	1	3	C2	spacemit	two_stage	100	115337.64278000001	2183.0727797930613	1.8927669468303148	114884.843	117611.356	118324.70240000001	124667.14278	125271.844878	112819.855	125339.034	46	15	1	1408	88412	88412	88412	4	4	11	11
abba	10	0	B2	spacemit	inference	100	100405.32703	1777.8794698621903	1.7707023346788957	99900.9315	102470.4271	102707.61365	106452.82676000001	109497.26327599998	98073.721	109835.534	47	16	1	1408	88284	88284	88284	4	4	11	11
abba	10	0	B2	spacemit	tail	100	14861.19426	316.570654724948	2.130183141317392	14699.905999999999	15348.3661	15440.14795	15625.949150000002	15713.458715	14485.544	15723.182	47	16	1	1408	88284	88284	88284	4	4	11	11
abba	10	0	B2	spacemit	two_stage	100	115266.52129	1878.5578842401571	1.6297515212711917	115042.4055	117322.7289	117558.59295	121148.68173000001	125029.31907299999	112651.473	125460.501	47	16	1	1408	88284	88284	88284	4	4	11	11
abba	10	1	C2	spacemit	inference	100	100534.79094	1635.6785298965385	1.6269776010900794	100078.44949999999	102563.6584	102908.8389	104831.73981000001	106938.67058099998	98432.935	107172.774	47	16	1	768	88412	88412	88412	4	4	11	11
abba	10	1	C2	spacemit	tail	100	14870.72986	323.70807454541415	2.1768136304872274	14725.042000000001	15400.2002	15529.97445	15619.17442	15757.316842	14502.528	15772.666	47	16	1	768	88412	88412	88412	4	4	11	11
abba	10	1	C2	spacemit	two_stage	100	115405.5208	1777.9491253923597	1.5406101138554542	114965.6265	117572.2255	118070.52605	120602.20863000001	122513.370663	113067.645	122725.722	47	16	1	768	88412	88412	88412	4	4	11	11
abba	10	2	C2	spacemit	inference	100	100550.79883	1697.350138067862	1.6880523653895092	99946.5675	102293.9366	103124.73595	103802.47271000003	109880.22517099997	98387.003	110555.531	47	16	1	768	88540	88540	88540	4	4	11	11
abba	10	2	C2	spacemit	tail	100	14856.248810000001	307.2206291215358	2.0679555993619347	14697.4905	15351.279700000001	15432.66365	15552.305930000002	15666.882292999999	14538.769	15679.613	47	16	1	768	88540	88540	88540	4	4	11	11
abba	10	2	C2	spacemit	two_stage	100	115407.04764	1786.0729980453484	1.5476290526180108	114762.935	117319.4295	117852.91140000001	118505.16065000003	124864.10736499999	113046.945	125570.657	47	16	1	768	88540	88540	88540	4	4	11	11
abba	10	3	B2	spacemit	inference	100	100787.81781	2501.77615349871	2.482220776140753	99975.20000000001	102687.21310000001	103790.28619999999	111481.45493	111585.339293	98218.512	111596.882	46	15	1	1280	88540	88540	88540	4	4	11	11
abba	10	3	B2	spacemit	tail	100	15087.721950000001	1002.6740642983609	6.645629258155575	14707.3325	15529.9081	15983.667299999996	19619.270970000005	20492.893796999997	14514.596	20589.963	46	15	1	1280	88540	88540	88540	4	4	11	11
abba	10	3	B2	spacemit	two_stage	100	115875.53976	3251.3372035960306	2.8058874291590445	115129.637	117787.9926	120092.10914999999	129102.75937	130995.989137	112821.317	131206.348	46	15	1	1280	88540	88540	88540	4	4	11	11
abba	11	0	C2	spacemit	inference	100	103808.53016000001	4386.095942700959	4.225178736218183	102464.8355	109734.21370000001	111552.69944999999	117862.50665	118217.271665	98693.288	118256.69	47	16	1	1408	88668	88668	88668	4	4	11	11
abba	11	0	C2	spacemit	tail	100	14883.62086	431.3262859121012	2.8979929680370877	14690.446	15438.3559	15591.1385	15725.59357000001	17459.441256999995	14506.919	17652.091	47	16	1	1408	88668	88668	88668	4	4	11	11
abba	11	0	C2	spacemit	two_stage	100	118692.15102	4418.3273662852935	3.722510147735709	117614.28099999999	124461.01610000001	126175.24294999999	132893.94052	133168.058452	113578.093	133198.516	47	16	1	1408	88668	88668	88668	4	4	11	11
abba	11	1	B2	spacemit	inference	100	100641.03363	2134.0736087508376	2.1204806148917505	100049.8235	102940.9583	104661.95885000001	108182.50696000001	109985.620096	98169.623	110185.966	47	16	1	1408	88412	88412	88412	4	4	11	11
