model	metric	samples	mean_us	stddev_us	cv_pct	p50_us	p95_us	p99_us	p999_us	max_us
B2	inference	2000	100023.40196999999	2245.2342276857235	2.244708921577309	99183.4245	105298.43710000001	109853.37341	112814.30229600001	115604.922
B2	tail	2000	14782.321498500001	383.37569888192655	2.593474231505712	14680.817500000001	15355.89375	16248.80046	17647.89392799998	24572.275
B2	two_stage	2000	114805.7234685	2381.9813331874516	2.0747931908124873	113877.5675	120070.08935	124910.80335999999	128763.118089	131846.133
C2	inference	2000	99859.243926	2432.37453801249	2.4358030787965754	98946.003	105593.81994999999	109655.42408000001	114057.29524199983	125499.106
C2	tail	2000	14748.952559000001	290.43292232459896	1.9691765985603704	14670.113	15332.433850000001	15812.21683	17258.942169999995	19951.769
C2	two_stage	2000	114608.196485	2548.0751220015527	2.223292225294765	113624.72099999999	120726.4205	125065.34626	128763.96770699983	141806.326
