model	fused_subgraphs	fused_node_count	graph_inputs	graph_outputs	provider_dump_sha256	unexpected_cpu_events	topology_equal_to_b2	status
B2	1	925	1	6	757a224ac89e4e0788d906cd04f4609fa20260798f5c4fbd5e4e5dcba1351f14	0	yes	pass
C2	1	925	1	6	879db352c86f129a67a2131639ae42b726b80375be9865ee258addb774b29d27	0	yes	pass
