model	left	right	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large
B2	B2_BOARD_EP	B2_BOARD_CPU	0.0006047005258069671	0.0002232024785666642	-0.0008917770402818714	-0.0008590527668579651	-0.0005634434875930738	-0.0036716607345839147	-0.0018221698774733008	-0.000598701707224647	-3.617479518913669e-05	-0.0013585516249193241	0.0002572075360184334	-0.004611510841450062
A1	A1_BOARD_EP	A1_BOARD_CPU	-0.0005889544495842891	-0.0008666773620514823	-0.0010107518337141852	-0.0019121829362880594	-0.0010431732913513958	-0.0025725888894269078	-0.0003456299897986459	-0.0018635210023603133	-0.0009495659769882536	-0.00452163803292277	-0.0005404468391048134	-0.006192406040317788
C2	C2_BOARD_EP	C2_BOARD_CPU	0.00022438791407292102	-7.016883457799938e-05	-0.0010891865907926013	-0.0006247957804717263	-0.0005967701695364647	-0.0023742856119487454	-0.0007947357989550596	-0.0010923679528050956	-0.0008470093973740322	-0.0032249647610455567	-0.0003642605312390579	-0.0050947141227922765
