role	commit	tree	parent	subject
stage_start	5bc3523ec3fe99ecadece5166a3011334ecad425	d9dade39f4d90adacc377b25e0ca4ec57207e91b	c3b618dc3835d666af49a31d4d43c8e21072d273	docs: attest Stage65D-R1 conditional closure
accuracy_runtime_controls	f483dd599b925e01d1a55336fd806b71025b2981	fe688d5784153d66739a1c1ebe1623b7820bd517	5bc3523ec3fe99ecadece5166a3011334ecad425	test: bind Stage65E accuracy and runtime controls
measurement_contracts	c5e2949e7b42a2650555aafe0876d162f8786926	33db6f847ca2533792940f4237ef2297795741dd	f483dd599b925e01d1a55336fd806b71025b2981	fix: harden Stage65E measurement contracts
matched_performance	b4da1f3e72310861be0b58e27a9637391c086f67	c16ff53e15690e2f9042757cf0eebff803831fd9	c5e2949e7b42a2650555aafe0876d162f8786926	test: record Stage65E matched performance
runtime_passport	5b73be81e730b6865c79f68b3f3c97841e0ea3e5	fbfd742ab44d9369b4f1bb2d72c4ef18e792d91b	b4da1f3e72310861be0b58e27a9637391c086f67	test: complete Stage65E runtime passport
evidence_closure	b6d1a631dbcf705796764a3c0c27be21d4167584	eb0ba71e05d2ce0e24b894f78461bc88a2b27334	5b73be81e730b6865c79f68b3f3c97841e0ea3e5	docs: close Stage65E vendor passport
