index	block	name	op_type	inputs	outputs	output_shapes	output_dtypes	output_bytes	macs	flops_2_per_mac	mac_status
445	model.8	/model.8/m.0/m/m.0/cv2/conv/Conv	Conv	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.8.m.0.m.0.cv2.conv.weight_DequantizeLinear_Output;model.8.m.0.m.0.cv2.conv.bias	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0	1x64x20x20	FLOAT	102400	14745600	29491200	static
453	model.8	/model.8/m.0/m/m.1/cv1/conv/Conv	Conv	/model.8/m.0/m/m.0/Add_output_0_DequantizeLinear_Output;model.8.m.0.m.1.cv1.conv.weight_DequantizeLinear_Output;model.8.m.0.m.1.cv1.conv.bias	/model.8/m.0/m/m.1/cv1/conv/Conv_output_0	1x64x20x20	FLOAT	102400	14745600	29491200	static
460	model.8	/model.8/m.0/m/m.1/cv2/conv/Conv	Conv	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_DequantizeLinear_Output;model.8.m.0.m.1.cv2.conv.weight_DequantizeLinear_Output;model.8.m.0.m.1.cv2.conv.bias	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0	1x64x20x20	FLOAT	102400	14745600	29491200	static
469	model.8	/model.8/m.0/cv3/conv/Conv	Conv	/model.8/m.0/Concat_output_0_DequantizeLinear_Output;model.8.m.0.cv3.conv.weight_DequantizeLinear_Output;model.8.m.0.cv3.conv.bias	/model.8/m.0/cv3/conv/Conv_output_0	1x128x20x20	FLOAT	204800	6553600	13107200	static
477	model.8	/model.8/cv2/conv/Conv	Conv	/model.8/Concat_output_0_DequantizeLinear_Output;model.8.cv2.conv.weight_DequantizeLinear_Output;model.8.cv2.conv.bias	/model.8/cv2/conv/Conv_output_0	1x256x20x20	FLOAT	409600	39321600	78643200	static
484	model.9	/model.9/cv1/conv/Conv	Conv	/model.8/cv2/act/Mul_output_0_DequantizeLinear_Output;model.9.cv1.conv.weight_DequantizeLinear_Output;model.9.cv1.conv.bias	/model.9/cv1/conv/Conv_output_0	1x128x20x20	FLOAT	204800	13107200	26214400	static
493	model.9	/model.9/cv2/conv/Conv	Conv	/model.9/Concat_output_0_DequantizeLinear_Output;model.9.cv2.conv.weight_DequantizeLinear_Output;model.9.cv2.conv.bias	/model.9/cv2/conv/Conv_output_0	1x256x20x20	FLOAT	409600	52428800	104857600	static
501	model.10	/model.10/cv1/conv/Conv	Conv	/model.9/Add_output_0_DequantizeLinear_Output;model.10.cv1.conv.weight_DequantizeLinear_Output;model.10.cv1.conv.bias	/model.10/cv1/conv/Conv_output_0	1x256x20x20	FLOAT	409600	26214400	52428800	static
509	model.10	/model.10/m/m.0/attn/qkv/conv/Conv	Conv	/model.10/Split_output_1_DequantizeLinear_Output;model.10.m.0.attn.qkv.conv.weight_DequantizeLinear_Output;model.10.m.0.attn.qkv.conv.bias	/model.10/m/m.0/attn/qkv/conv/Conv_output_0	1x256x20x20	FLOAT	409600	13107200	26214400	static
522	model.10	/model.10/m/m.0/attn/MatMul	MatMul	/model.10/m/m.0/attn/Transpose_output_0_DequantizeLinear_Output;/model.10/m/m.0/attn/Split_output_1_DequantizeLinear_Output	/model.10/m/m.0/attn/MatMul_output_0	1x2x400x400	FLOAT	1280000	10240000	20480000	static
527	model.10	/model.10/m/m.0/attn/pe/conv/Conv	Conv	/model.10/m/m.0/attn/Reshape_2_output_0_DequantizeLinear_Output;model.10.m.0.attn.pe.conv.weight_DequantizeLinear_Output;model.10.m.0.attn.pe.conv.bias	/model.10/m/m.0/attn/pe/conv/Conv_output_0	1x128x20x20	FLOAT	204800	460800	921600	static
535	model.10	/model.10/m/m.0/attn/MatMul_1	MatMul	/model.10/m/m.0/attn/Split_output_2_DequantizeLinear_Output;/model.10/m/m.0/attn/Transpose_1_output_0_DequantizeLinear_Output	/model.10/m/m.0/attn/MatMul_1_output_0	1x2x64x400	FLOAT	204800	20480000	40960000	static
542	model.10	/model.10/m/m.0/attn/proj/conv/Conv	Conv	/model.10/m/m.0/attn/Add_output_0_DequantizeLinear_Output;model.10.m.0.attn.proj.conv.weight_DequantizeLinear_Output;model.10.m.0.attn.proj.conv.bias	/model.10/m/m.0/attn/proj/conv/Conv_output_0	1x128x20x20	FLOAT	204800	6553600	13107200	static
548	model.10	/model.10/m/m.0/ffn/ffn.0/conv/Conv	Conv	/model.10/m/m.0/Add_output_0_DequantizeLinear_Output;model.10.m.0.ffn.0.conv.weight_DequantizeLinear_Output;model.10.m.0.ffn.0.conv.bias	/model.10/m/m.0/ffn/ffn.0/conv/Conv_output_0	1x256x20x20	FLOAT	409600	13107200	26214400	static
555	model.10	/model.10/m/m.0/ffn/ffn.1/conv/Conv	Conv	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_DequantizeLinear_Output;model.10.m.0.ffn.1.conv.weight_DequantizeLinear_Output;model.10.m.0.ffn.1.conv.bias	/model.10/m/m.0/ffn/ffn.1/conv/Conv_output_0	1x128x20x20	FLOAT	204800	13107200	26214400	static
562	model.10	/model.10/cv2/conv/Conv	Conv	/model.10/Concat_output_0_DequantizeLinear_Output;model.10.cv2.conv.weight_DequantizeLinear_Output;model.10.cv2.conv.bias	/model.10/cv2/conv/Conv_output_0	1x256x20x20	FLOAT	409600	26214400	52428800	static
571	model.13	/model.13/cv1/conv/Conv	Conv	/model.12/Concat_output_0_DequantizeLinear_Output;model.13.cv1.conv.weight_DequantizeLinear_Output;model.13.cv1.conv.bias	/model.13/cv1/conv/Conv_output_0	1x128x40x40	FLOAT	819200	78643200	157286400	static
579	model.13	/model.13/m.0/cv1/conv/Conv	Conv	/model.13/Split_output_1_DequantizeLinear_Output;model.13.m.0.cv1.conv.weight_DequantizeLinear_Output;model.13.m.0.cv1.conv.bias	/model.13/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
580	model.13	/model.13/m.0/cv2/conv/Conv	Conv	/model.13/Split_output_1_DequantizeLinear_Output;model.13.m.0.cv2.conv.weight_DequantizeLinear_Output;model.13.m.0.cv2.conv.bias	/model.13/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
