node_index	node_name	block	live_bytes	live_tensor_count	live_all_noninitializer_bytes	live_all_noninitializer_tensor_count
0	Constant_56	graph	4915200	1	4915216	2
1	Constant_75	graph	4915200	1	4915232	3
2	Constant_94	graph	4915200	1	4915248	4
3	Constant_130	graph	4915200	1	4915264	5
4	/model.10/m/m.0/attn/Constant	model.10	4915200	1	4915296	6
5	Constant_176	graph	4915200	1	4915320	7
6	/model.10/m/m.0/attn/Constant_1	model.10	4915200	1	4915324	8
7	/model.10/m/m.0/attn/Constant_2	model.10	4915200	1	4915356	9
8	/model.10/m/m.0/attn/Constant_3	model.10	4915200	1	4915388	10
9	/model.11/Constant	model.11	4915200	1	4915404	11
10	/model.14/Constant	model.14	4915200	1	4915420	12
11	/model.22/m.0/m.0.1/attn/Constant	model.22	4915200	1	4915452	13
12	/model.22/m.0/m.0.1/attn/Constant_1	model.22	4915200	1	4915456	14
13	/model.22/m.0/m.0.1/attn/Constant_2	model.22	4915200	1	4915488	15
14	/model.22/m.0/m.0.1/attn/Constant_3	model.22	4915200	1	4915520	16
15	/model.23/Constant	model.23	4915200	1	4915544	17
16	/model.23/Constant_1	model.23	4915200	1	4915568	18
17	/model.23/Constant_2	model.23	4915200	1	4915592	19
18	/model.23/Constant_3	model.23	4915200	1	4915616	20
19	/model.23/Constant_4	model.23	4915200	1	4915640	21
20	/model.23/Constant_5	model.23	4915200	1	4915664	22
21	/model.23/Constant_6	model.23	4915200	1	4915672	23
22	/model.23/Constant_7	model.23	4915200	1	4915680	24
23	/model.23/Constant_8	model.23	4915200	1	4915688	25
24	/model.23/Constant_9	model.23	4915200	1	4915696	26
25	/model.23/Constant_10	model.23	4915200	1	4915704	27
26	/model.23/Constant_11	model.23	4915200	1	4915712	28
27	/model.23/Constant_12	model.23	4915200	1	4982912	29
28	/model.23/Constant_13	model.23	4915200	1	5050112	30
29	/model.23/Constant_14	model.23	4915200	1	5083712	31
30	Constant_449	graph	4915200	1	5083728	32
31	/model.23/Constant_15	model.23	4915200	1	5083736	33
32	/model.23/Constant_16	model.23	4915200	1	5083744	34
33	/model.23/Constant_17	model.23	4915200	1	5083752	35
34	/model.23/Constant_18	model.23	4915200	1	5083776	36
35	/model.23/Constant_19	model.23	4915200	1	5083784	37
36	/model.23/Constant_20	model.23	4915200	1	5083792	38
37	/model.23/Constant_21	model.23	4915200	1	5083800	39
38	/model.23/Constant_22	model.23	4915200	1	5083808	40
39	/model.23/Constant_23	model.23	4915200	1	5083816	41
40	/model.23/Constant_24	model.23	4915200	1	5083824	42
41	/model.23/Constant_25	model.23	4915200	1	5083832	43
42	/model.23/Constant_26	model.23	4915200	1	5083840	44
43	/model.23/Constant_27	model.23	4915200	1	5083848	45
44	/model.23/Constant_28	model.23	4915200	1	5083856	46
45	Constant_493	graph	4915200	1	5083880	47
46	/model.23/Constant_29	model.23	4915200	1	5083888	48
47	images_QuantizeLinear	graph	6144000	2	6312688	49
48	model.0.conv.bias_DequantizeLinear	graph	1228800	1	1397552	49
49	model.0.conv.weight_DequantizeLinear	graph	1228800	1	1399280	50
50	model.1.conv.bias_DequantizeLinear	graph	1228800	1	1399408	51
51	model.1.conv.weight_DequantizeLinear	graph	1228800	1	1417840	52
52	model.10.cv1.conv.bias_DequantizeLinear	graph	1228800	1	1418864	53
53	model.10.cv1.conv.weight_DequantizeLinear	graph	1228800	1	1681008	54
54	model.10.cv2.conv.bias_DequantizeLinear	graph	1228800	1	1682032	55
55	model.10.cv2.conv.weight_DequantizeLinear	graph	1228800	1	1944176	56
56	model.10.m.0.attn.pe.conv.bias_DequantizeLinear	graph	1228800	1	1944688	57
57	model.10.m.0.attn.pe.conv.weight_DequantizeLinear	graph	1228800	1	1949296	58
58	model.10.m.0.attn.proj.conv.bias_DequantizeLinear	graph	1228800	1	1949808	59
59	model.10.m.0.attn.proj.conv.weight_DequantizeLinear	graph	1228800	1	2015344	60
60	model.10.m.0.attn.qkv.conv.bias_DequantizeLinear	graph	1228800	1	2016368	61
61	model.10.m.0.attn.qkv.conv.weight_DequantizeLinear	graph	1228800	1	2147440	62
62	model.10.m.0.ffn.0.conv.bias_DequantizeLinear	graph	1228800	1	2148464	63
63	model.10.m.0.ffn.0.conv.weight_DequantizeLinear	graph	1228800	1	2279536	64
64	model.10.m.0.ffn.1.conv.bias_DequantizeLinear	graph	1228800	1	2280048	65
65	model.10.m.0.ffn.1.conv.weight_DequantizeLinear	graph	1228800	1	2411120	66
66	model.13.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2411632	67
67	model.13.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2608240	68
68	model.13.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2608752	69
69	model.13.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2707056	70
70	model.13.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2707184	71
71	model.13.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2715376	72
72	model.13.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2715504	73
73	model.13.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2723696	74
74	model.13.m.0.cv3.conv.bias_DequantizeLinear	graph	1228800	1	2723952	75
75	model.13.m.0.cv3.conv.weight_DequantizeLinear	graph	1228800	1	2740336	76
76	model.13.m.0.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2740464	77
77	model.13.m.0.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2777328	78
78	model.13.m.0.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2777456	79
79	model.13.m.0.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2814320	80
80	model.13.m.0.m.1.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2814448	81
81	model.13.m.0.m.1.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2851312	82
82	model.13.m.0.m.1.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2851440	83
83	model.13.m.0.m.1.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2888304	84
84	model.16.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2888560	85
85	model.16.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2954096	86
86	model.16.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2954352	87
87	model.16.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2978928	88
88	model.16.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2978992	89
