lane	random_seed	elapsed_seconds	returncode	checker	deployable_sha256	inference_sha256	tail_sha256	h500_map50_95	h500_delta_vs_B2	scout_map50_95	status
Vseed	65002	2376.225654	0	pass	81ae8ac31aca734c3b0ca3808476d7290ae25588622298eb1e26abdae8c872e3	167a7087f9fbfd25a663270238a9039ceab08af3684d3503aa3934b6f880b864	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.45083355086314014	0.006168062910618832	0.3965437344175932	pass
Vorder	65001	2387.398367	0	pass	5ab49bff35f60c1927c6c72551463a38cd972cc6afe445b3e672a3ce1b63cb40	93851ae1b8d42806f184d451c4b815ab0fe91c1789a6116a54870167296cba23	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.4442560275728541	-0.0004094603796672147	0.3907231342219911	pass
Vdraw	65001	2291.875301	0	pass	fdbf22f4c6325b17aacc1a57ae790a4028de74352b7d29572f0584b5e0891d72	f1f6c6ec9a24c6d8cddafca948bd6d8ed9c51dbf493fed0d1a29d90bfcaeb632	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	0.44362615526059096	-0.0010393326919303503	0.38769253547139226	pass
