surface	size_bin	ap50_95	ar_100
F0	small	0.24791205267890734	0.43156302932218416
F0	medium	0.5416726698146257	0.7237278407272176
F0	large	0.7155446075953639	0.847661591826646
F1	small	0.24791205267890734	0.43156302932218416
F1	medium	0.5416726698146257	0.7237278407272176
F1	large	0.7155446075953639	0.847661591826646
H8	small	0.24791205267890734	0.43156302932218416
H8	medium	0.5416726698146257	0.7237278407272176
H8	large	0.7155446075953639	0.847661591826646
B0	small	0.22506841299898067	0.4218378606850354
B0	medium	0.5135007150214761	0.7129716256826618
B0	large	0.6728827197507276	0.8556977401898067
B1	small	0.23849742401351928	0.42867299042698304
B1	medium	0.5094366148590281	0.7140391433738631
B1	large	0.624942622653621	0.8577079330842875
B2	small	0.24198226769512168	0.43295919581707787
B2	medium	0.5163766839660254	0.705633833252966
B2	large	0.6768001039275425	0.8293282153218299
B3	small	0.22687097991169886	0.41854566448674163
B3	medium	0.462317922468743	0.6878133463134932
B3	large	0.6050439991827031	0.7773365433156454
B4	small	0.22967604034813657	0.41586571518934895
B4	medium	0.4917350854015341	0.6955080172300989
B4	large	0.6694792512576149	0.8001329745031371
B5	small	0.21593463960506692	0.4308972828588264
B5	medium	0.4283078250745224	0.692089258373263
B5	large	0.6182429840671934	0.771480908904477
B6	small	0.20934010683046347	0.4353692461181386
B6	medium	0.4293347259463455	0.6847245371769195
B6	large	0.6684262331046974	0.7783056367866739
