surface	expected	observed	status
banana-protected-main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
custom-executor-tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass
ncnn-head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass
ncnn-tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass
ncnn-diff-sha256	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass
ncnn-preexisting-dirty-path-count	3	3	pass
xslim-release-wheel	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	pass
