boundary_index	boundary_name	shape	dtype	dq_node	q_node	float_source	float_source_producer	float_source_other_consumers	q_output_consumers	dq_output_consumers	q_scale_dtype	q_scale_shape	q_scale_min_max	q_scale_initializer	dq_scale_initializer	scale_payload_sha256	q_zero_point_dtype	q_zero_point_shape	q_zero_point_min_max	q_zero_point_initializer	dq_zero_point_initializer	zero_point_payload_sha256	q_dq_qparam_payload_identity	shared_node_status	topology_status
0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	FLOAT	PPQ_Operation_1241	PPQ_Operation_1240	PPQ_Variable_2235	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	0	1	0	FLOAT	scalar	0.03251160681247711:0.03251160681247711	PPQ_Variable_2236	PPQ_Variable_2239	370b25e53669c583ebeaf6493433bbea2276fed5828d949906bc7f2e114b3693	INT8	scalar	-104.0:-104.0	PPQ_Variable_2237	PPQ_Variable_2240	79bec7ff3e69d1b470eb8684f2005a867a7980222474cbc1afd26a9a4f206d4a	pass	unshared	pass
1	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	FLOAT	PPQ_Operation_1281	PPQ_Operation_1280	PPQ_Variable_2355	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	0	1	0	FLOAT	scalar	0.10913866013288498:0.10913866013288498	PPQ_Variable_2356	PPQ_Variable_2359	bc0756e6c39ad1f49c0efaf657d41bb2819cffd4b96b6b231e2953b87b5ea357	INT8	scalar	127.0:127.0	PPQ_Variable_2357	PPQ_Variable_2360	620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731	pass	unshared	pass
2	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	FLOAT	PPQ_Operation_1373	PPQ_Operation_1372	PPQ_Variable_2631	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	0	1	0	FLOAT	scalar	0.051601748913526535:0.051601748913526535	PPQ_Variable_2632	PPQ_Variable_2635	953b337c6ee9132c65c380887ce213ae8d8008d211e6f695496cd1bab997751e	INT8	scalar	-126.0:-126.0	PPQ_Variable_2633	PPQ_Variable_2636	a5ab782c805e8bfbe34cb65742a0471cf5a53a97f0a1160ab6cccbb64c9131ce	pass	unshared	pass
3	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	FLOAT	PPQ_Operation_1406	PPQ_Operation_1405	PPQ_Variable_2730	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	0	1	0	FLOAT	scalar	0.5148698091506958:0.5148698091506958	PPQ_Variable_2731	PPQ_Variable_2734	dc131725a5511729347d7fe6c2c87ef2f183396a806768054ab03a35b00395a6	INT8	scalar	127.0:127.0	PPQ_Variable_2732	PPQ_Variable_2735	620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731	pass	unshared	pass
4	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	FLOAT	PPQ_Operation_1492	PPQ_Operation_1491	PPQ_Variable_2988	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	0	1	0	FLOAT	scalar	0.06701355427503586:0.06701355427503586	PPQ_Variable_2989	PPQ_Variable_2992	41c29225dc571346fa1c191853d1004a61c781e84a16486eaea6cae03218151e	INT8	scalar	-128.0:-128.0	PPQ_Variable_2990	PPQ_Variable_2993	76be8b528d0075f7aae98d6fa57a6d3c83ae480a8469e668d7b0af968995ac71	pass	unshared	pass
5	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	FLOAT	PPQ_Operation_1509	PPQ_Operation_1508	PPQ_Variable_3039	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	0	1	0	FLOAT	scalar	0.4061771035194397:0.4061771035194397	PPQ_Variable_3040	PPQ_Variable_3043	e6c8465e8936d22bf4ddc8a69f5f38722147583cf9b6953547165048744269a1	INT8	scalar	127.0:127.0	PPQ_Variable_3041	PPQ_Variable_3044	620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731	pass	unshared	pass
