variance_lane	lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
Vdraw	VDRAW	148	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv[Conv]	model.23.one2one_cv3.0.1.1.conv.bias[Constant]	P3	confidence	0.0	0.0002	1.0	-6.867	10.299	-6.893	10.319	476,0,0,0,799,493,323,714,1649,374,476,4590,2040,1139,3026,2040,2771,731,935,3111,2074,748,1020,0,1377,595,0,680,1751,0,391,493	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	149	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0	P3	confidence	0.0861	0.5182	0.9561	-9.538	28.393	-32.720	25.157	1,0,0,0,0,1,2,2,1,2,2,3,7,11,31,177,1809,8625,11547,7633,3678,1106,155,11,7,1,1,0,0,0,0,3	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	150	/model.19/cv2/act/Mul[Mul]	/model.19/cv2/act/Mul_output_0			0.0856	0.0262	0.9568	-0.278	4.444	-0.278	4.397	16423,6042,2843,2027,1488,1265,1074,859,638,446,348,284,203,191,136,114,96,73,52,27,19,21,10,1,4,6,8,19,33,39,18,9	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	151	/model.8/m.0/m/m.1/cv1/act/Mul[Mul]	/model.8/m.0/m/m.1/cv1/act/Mul_output_0			0.0855	0.0381	0.9568	-0.275	7.226	-0.278	7.612	19743,4365,2867,2196,1638,1147,819,577,433,364,230,187,116,49,25,18,8,10,4,5,2,4,5,1,0,2,0,0,0,0,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	152	/model.15/Concat[Concat]	/model.15/Concat_output_0			0.0854	0.0118	0.9565	-0.282	3.514	-0.278	3.905	18757,4490,2681,2208,1743,1353,1064,780,544,386,295,154,121,70,35,34,26,21,16,13,5,7,4,5,1,0,0,1,0,0,0,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	153	/model.10/cv1/act/Mul[Mul]	/model.10/cv1/act/Mul_output_0			0.0853	0.0759	0.9569	-0.274	7.429	-0.278	7.045	15030,3991,2919,2448,2059,1814,1504,1169,987,779,581,416,328,242,150,113,81,51,47,30,23,26,8,5,5,4,2,1,0,1,0,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	154	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	model.19.m.0.m.1.cv2.conv.weight[Constant]			0.0002	0.0	0.9999	-3.538	2.692	-3.524	2.689	17,0,0,0,0,0,0,0,17,0,17,34,119,204,238,544,1955,10591,16524,3332,663,357,51,119,0,17,0,0,0,0,0,17	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	155	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	model.19.m.0.m.1.cv2.conv.bias[Constant]			0.0	0.0001	1.0	-1.715	2.882	-1.694	2.882	986,1037,0,0,0,0,1037,0,0,3213,969,2023,1071,2074,0,952,0,4318,1224,0,0,0,1972,2057,0,3094,0,1054,0,1173,1360,5202	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	156	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	/model.19/m.0/m/m.1/cv2/conv/Conv_output_0			0.0847	0.7729	0.9567	-9.927	25.137	-17.298	25.523	2,2,3,10,30,78,162,281,523,827,1355,2652,5175,8149,7367,4793,2044,807,307,112,52,32,16,9,13,6,4,1,0,2,1,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	157	/model.8/m.0/cv3/conv/Conv[Conv]	model.8.m.0.cv3.conv.weight[Constant]			0.0001	0.0	1.0	-0.476	0.330	-0.474	0.331	17,0,0,0,0,17,17,17,34,102,68,187,459,765,1360,2193,2992,4335,6069,5916,4556,2312,1275,867,595,255,204,85,68,0,17,34	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
