lane	map50_95	map50	ap_small	ap_medium	ap_large	prediction_count	prediction_sha256	selection_surface
Vseed	0.45083355086314014	0.6207216863223068	0.24364761258344328	0.5138390085253317	0.6920268544782657	64426	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	H500-only
Vorder	0.4442560275728541	0.6129537377964271	0.24387429273336342	0.5158113605124799	0.67595636380362	65562	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	H500-only
Vdraw	0.44362615526059096	0.6101966290083374	0.22187241915340097	0.484827256270985	0.68306180707722	60471	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	H500-only
