scope	pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	map50_95	1000	65002	0.013484903251106795	0.015134290858292924	0.015103552522461233	0.013419620989654905	0.017029646442466354	1.0
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	map50	1000	65002	0.00756607037084589	0.008930057061803413	0.00888182436166629	0.007242994013359585	0.01077495258930897	1.0
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	ap_small	1000	65002	0.0012004525342275696	0.0013047549027432972	0.0012908961504111416	-0.00033238792115644134	0.0029611862647163267	0.942
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	ap_medium	1000	65002	0.006793083112675569	0.009554920245850805	0.009517500258108352	0.007207542281786534	0.012040745804788896	1.0
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	ap_large	1000	65002	0.040185029440925724	0.04009730732650408	0.04002130821587252	0.03421003926156931	0.04637123957486412	1.0
D8-full-val2017	D8-H8	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	map50_95	1000	65002	-0.022477662933922227	-0.022068183594733285	-0.021983324503592666	-0.02467885166774615	-0.019541507677064834	0.0
D8-full-val2017	D8-H8	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	map50	1000	65002	-0.022875549084931723	-0.022511662859024208	-0.02244762903616182	-0.02609710810113534	-0.019280435434728554	0.0
D8-full-val2017	D8-H8	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	ap_small	1000	65002	-0.015441651050151106	-0.014953862995333023	-0.014792347343009632	-0.023105434486410562	-0.007096078537498858	0.001
D8-full-val2017	D8-H8	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	ap_medium	1000	65002	-0.0143904209311419	-0.014303479772620161	-0.014311566383443663	-0.0176699907742727	-0.010774469702557144	0.0
D8-full-val2017	D8-H8	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	ap_large	1000	65002	-0.02265455231539104	-0.020993477405891046	-0.02068279711495602	-0.0299522291801866	-0.01303063987694765	0.0
variance-H500	Vseed-B2	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50_95	1000	65002	0.006168062910618832	0.005870707929980241	0.00546504538666201	-0.0011935730858775584	0.013924200156119658	0.94
variance-H500	Vseed-B2	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50	1000	65002	0.007866549678542056	0.006822111654800053	0.006435819845759416	-0.002079335898254886	0.016724067532875357	0.942
variance-H500	Vseed-B2	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_small	1000	65002	0.001665344888321596	0.003315445237425734	0.00303939171932939	-0.004971048084988391	0.012245681977463795	0.781
variance-H500	Vseed-B2	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_medium	1000	65002	-0.0025376754406937208	-0.005587703634511686	-0.005488051920683468	-0.018497630335914454	0.0073704275734785005	0.196
variance-H500	Vseed-B2	2c297dd48a88418efe1aa0fd21eb5f95481267d10c1bbfe15950cb7524dc0df3	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_large	1000	65002	0.0152267505507232	0.013251336148467434	0.012902447860900335	-0.0007535038047167125	0.02889904370170873	0.965
variance-H500	Vorder-B2	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50_95	1000	65002	-0.0004094603796672147	0.0006812403286373174	0.0008935828780083643	-0.0067268541323163965	0.007143564506056964	0.596
variance-H500	Vorder-B2	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50	1000	65002	9.860115266235869e-05	0.0008741742785070203	0.0008893985176081642	-0.007593337133825562	0.0085100607097782	0.6
variance-H500	Vorder-B2	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_small	1000	65002	0.0018920250382417347	0.0002023434630795575	0.00016481784518708464	-0.011465272298712727	0.01234512096461212	0.508
variance-H500	Vorder-B2	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_medium	1000	65002	-0.0005653234535455409	-0.0017221472279650904	-0.0019180277445053906	-0.013349351299336778	0.010925373790101243	0.372
variance-H500	Vorder-B2	70c0057333e8bd9b214beec4477cb0cf1f05f87c15ef868ab9fec9075be3d642	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_large	1000	65002	-0.0008437401239225206	0.0009516599964206997	0.0009657326690070134	-0.013886972691255722	0.013890856413854376	0.565
variance-H500	Vdraw-B2	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50_95	1000	65002	-0.0010393326919303503	-0.0011864374944411972	-0.0011597555190397402	-0.010463383287188715	0.007430665005641973	0.421
variance-H500	Vdraw-B2	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50	1000	65002	-0.0026585076354274095	-0.002588537323105366	-0.0027502309049192153	-0.013862599832643294	0.008032518910711089	0.332
variance-H500	Vdraw-B2	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_small	1000	65002	-0.02010984854172071	-0.01641041401797515	-0.01618723131466976	-0.029631593554716357	-0.004098976956132034	0.003
variance-H500	Vdraw-B2	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_medium	1000	65002	-0.03154942769504043	-0.028171438199133474	-0.02804615494008958	-0.04410901007346954	-0.011730076421475525	0.001
variance-H500	Vdraw-B2	2a4de76b073f126e2ed817cebe2926221332eae27dec8dfb6823360e51ffeb77	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_large	1000	65002	0.0062617031496774445	0.007257151433328701	0.007084058529680082	-0.012039623074144717	0.026849588212953208	0.75
