name	status	lhs_shape	rhs_shape	lhs_dtype	rhs_dtype	lhs_sha256	rhs_sha256	total	mismatches	max_abs_diff
prefix_vs_full_model4_input	pass	1x64x80x80	1x64x80x80	uint8	uint8	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	409600	0	0
all_ort_model4_vs_full_model4_output	pass	1x128x80x80	1x128x80x80	uint8	uint8	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	819200	0	0
all_ort_final_vs_full_reference	pass	1x300x6	1x300x6	float32	float32	8ddc0e17ab7307ac7fc1f91d9145acf3f88647d7528e73183b8e6d723c41ebac	8ddc0e17ab7307ac7fc1f91d9145acf3f88647d7528e73183b8e6d723c41ebac	1800	0	0
custom_model4_output_vs_full_model4_output	pass	1x128x80x80	1x128x80x80	uint8	uint8	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	819200	0	0
custom_model4_skeleton_final_vs_full_reference	pass	1x300x6	1x300x6	float32	float32	8ddc0e17ab7307ac7fc1f91d9145acf3f88647d7528e73183b8e6d723c41ebac	8ddc0e17ab7307ac7fc1f91d9145acf3f88647d7528e73183b8e6d723c41ebac	1800	0	0
