surface	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us	repeats	repeat_mean_cv_pct	process_cpu_mean_us	voluntary_context_switches_mean	involuntary_context_switches_mean	affinity_all_pass	cpu4_7_ime_count	output_hashes	input_us_mean	core_us_mean	dense_us_mean	depthwise_us_mean	attention_us_mean	lut_us_mean	concat_us_mean	transform_us_mean	head_us_mean
k1x_int8_v1_e2c_control	500	558339.4	5196.936789686015	0.9307845352998578	555689.0	556812.0	559464.5	564257.2	580948.57	597420.6	597720.0	5	0.15338113941307088	2025347.82	1195.002	8.02	1	0	0xd43f5e018b415631	33411.9962	19699.519399999997	195417.874	102405.132	44431.5876	66007.18179999999	36429.934	20089.5594	40373.2068
k1x_int8_v1_e2c2_sched_other	500	504137.644	4742.774889932807	0.940769836646598	501053.0	502911.5	505599.7	506182.2	527434.1	544375.4119999997	551068.0	5	0.2634028480121195	1810976.92	1194.846	6.458	1	0	0xd43f5e018b415631	32916.4692	19609.947600000003	141731.226	102989.044	44867.2252	65964.113	35674.6766	19955.231600000003	40356.3338
