surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
k1x_int8_v1_e2c_control	0	0	559023	33293.4	19605.7	196892	102283	44181.3	65955.5	36278.7	20141.9	40319.7	2026480.0	1202	16	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	1	556437	33319.5	19814.4	194759	101935	44414.5	65790.3	36168.9	19802.8	40364.7	2024400.0	1196	3	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	2	556647	33261.9	19676.9	194623	102077	44314.1	65905.6	36327.7	20046.3	40347.2	2023950.0	1197	8	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	3	558315	33423.3	19669.4	195815	102170	43901.2	66375.4	36317.9	20240	40335	2026050.0	1197	5	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	4	566237	33275.3	19697.9	204232	102180	44204.8	65988.8	36261.3	19949.9	40380.4	2025180.0	1191	11	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	5	597720	33348.9	19553.1	209882	104769	48432.8	70686	47879.4	20323.1	42743.4	2032960.0	1200	22	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	6	578563	36402.3	19639.7	202949	104986	44562.1	69598.5	38798.7	21141.3	40354.5	2042170.0	1206	36	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	7	560192	33363.3	23051	194983	102109	44391.8	65740.9	36230.5	19907.3	40341.6	2027950.0	1200	13	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	8	557230	33309.9	19517.8	194977	102040	44634.2	65948.4	36308.1	20041	40372.8	2023900.0	1199	4	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	9	568607	33424.9	19591.2	206601	102089	44612.5	65559.2	36407.9	19941	40303.9	2026170.0	1194	201	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	10	558293	33365.3	19509.2	195359	102058	44211.5	66958.9	36267.7	20118.6	40372.1	2025800.0	1191	5	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	11	556386	33327	19472	194299	102080	44476	65821.4	36404.5	20081.1	40354.9	2023790.0	1198	7	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	12	556019	33423.3	19407.2	194341	102154	44484.9	65729.1	36233.4	19772.5	40398.6	2022720.0	1191	2	1	0	0xd43f5e018b415631
k1x_int8_v1_e2c_control	0	13	556582	33311.8	19702.8	194689	102167	44325.5	65596.5	36460.2	19885.6	40371.1	2023850.0	1193	11	1	0	0xd43f5e018b415631
