surface	repeat	run	wall_us	process_cpu_us
model5_sched_other	1	28	3528.53	13765.6
model5_sched_other	1	29	3579.57	13911.5
model5_sched_other	1	30	3518.7	13734.5
model5_sched_other	1	31	3623.95	14018.8
model5_sched_other	1	32	3554.11	13872.4
model5_sched_other	1	33	3575.2	13902.7
model5_sched_other	1	34	3551.99	13874.7
model5_sched_other	1	35	3536.45	13794.4
model5_sched_other	1	36	3528.86	13801.9
model5_sched_other	1	37	3539.24	13840.4
model5_sched_other	1	38	3499.45	13638.5
model5_sched_other	1	39	3492.36	13679.8
model5_sched_other	1	40	3514.28	13771.8
model5_sched_other	1	41	3511.03	13750.5
model5_sched_other	1	42	3536.82	13764.8
model5_sched_other	1	43	3491.74	13653.4
model5_sched_other	1	44	3544.03	13766
model5_sched_other	1	45	3613.7	14107.1
model5_sched_other	1	46	3540.61	13804.8
model5_sched_other	1	47	3478.65	13612.5
model5_sched_other	1	48	3495.99	13517.3
model5_sched_other	1	49	3524.24	13697.7
model5_sched_other	1	50	3450.82	13392.3
model5_sched_other	1	51	3476.32	13580.2
model5_sched_other	1	52	3463.99	13546.7
model5_sched_other	1	53	3523.24	13731.6
model5_sched_other	1	54	3461.57	13513.4
model5_sched_other	1	55	3452.95	13541.2
model5_sched_other	1	56	3424.74	13448.5
model5_sched_other	1	57	3619.36	14067
model5_sched_other	1	58	3507.49	13680.7
model5_sched_other	1	59	3597.49	14022.2
model5_sched_other	1	60	3607.2	13871.5
model5_sched_other	1	61	3558.95	13849.7
model5_sched_other	1	62	3502.49	13643.3
model5_sched_other	1	63	3537.82	13726.6
model5_sched_other	1	64	3470.49	13562.5
model5_sched_other	1	65	3548.91	13844.9
model5_sched_other	1	66	3520.15	13766.5
model5_sched_other	1	67	3520.95	13743.5
model5_sched_other	1	68	3545.11	13813.2
model5_sched_other	1	69	3552.66	13800.6
model5_sched_other	1	70	3533.61	13805.9
model5_sched_other	1	71	3489.9	13647.6
model5_sched_other	1	72	3584.61	13899.2
model5_sched_other	1	73	3555.7	13937.1
model5_sched_other	1	74	3546.24	13844.7
model5_sched_other	1	75	3538.95	13900.5
model5_sched_other	1	76	3465.4	13671.5
model5_sched_other	1	77	3560.82	13951.4
model5_sched_other	1	78	3550.74	13822
model5_sched_other	1	79	3589.2	14057.9
model5_sched_other	1	80	3597.11	14076.9
model5_sched_other	1	81	3534.24	13834.5
model5_sched_other	1	82	3543.57	13794.5
