tensor	name	first_op	last_op	arena_offset	storage_bytes
0	images_QuantizeLinear_Output	0	1	0	3276800
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	1	2	3276800	1638400
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	2	3	0	1638400
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	3	4	1638400	819200
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	4	5	2457600	819200
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	5	11	1638400	819200
6	/model.2/Split_output_1_QuantizeLinear_Output	6	11	2457600	409600
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	7	8	2867200	204800
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	8	9	3072000	204800
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	9	10	0	409600
10	/model.2/Concat_output_0_QuantizeLinear_Output	11	12	3276800	1228800
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	12	13	4915200	1638400
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	13	14	6553600	1638400
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	14	15	0	409600
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	15	16	409600	409600
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	16	22	0	409600
16	/model.4/Split_output_1_QuantizeLinear_Output	17	22	2867200	204800
17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	18	19	3072000	102400
18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	19	20	3174400	102400
19	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	20	21	409600	204800
20	/model.4/Concat_output_0_QuantizeLinear_Output	22	23	819200	614400
21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	23	24	1638400	819200
22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	24	107	3276800	819200
23	/model.5/conv/Conv_output_0_QuantizeLinear_Output	25	26	409600	204800
24	/model.5/act/Mul_output_0_QuantizeLinear_Output	26	27	614400	204800
25	/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output	27	42	409600	204800
