surface	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	statistical_unit
k1x_int8_v1_e2c2_sched_other	500	504137.644	4742.774889932807	0.940769836646598	501053.0	502911.5	505599.7	506182.2	527434.1	551068.0	1810976.92	500 per-inference samples; 5 repeats x 100
b120_ort_cpu0_3_intra4	5	460208.112134	1184.63047	0.257412	459185.3653	459581.80383	461512.035728	461547.984544	not-reported	461583.93336	1840269.082684	five repeat means; 100 inferences per repeat
