tensor	name	shape	python_operator_oracle	host_scalar_vs_host_optimized	host_scalar_vs_board_scalar	host_scalar_vs_board_optimized
0	images_QuantizeLinear_Output	1x3x640x640	operator-class-pass	pass	pass	pass
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x320x320	operator-class-pass	pass	pass	pass
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	1x16x320x320	operator-class-pass	pass	pass	pass
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	operator-class-pass	pass	pass	pass
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	1x32x160x160	operator-class-pass	pass	pass	pass
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	operator-class-pass	pass	pass	pass
6	/model.2/Split_output_1_QuantizeLinear_Output	1x16x160x160	operator-class-pass	pass	pass	pass
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x8x160x160	operator-class-pass	pass	pass	pass
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x8x160x160	operator-class-pass	pass	pass	pass
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x160x160	operator-class-pass	pass	pass	pass
10	/model.2/Concat_output_0_QuantizeLinear_Output	1x48x160x160	operator-class-pass	pass	pass	pass
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x160x160	operator-class-pass	pass	pass	pass
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	1x64x160x160	operator-class-pass	pass	pass	pass
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
16	/model.4/Split_output_1_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
19	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
20	/model.4/Concat_output_0_QuantizeLinear_Output	1x96x80x80	operator-class-pass	pass	pass	pass
21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x128x80x80	operator-class-pass	pass	pass	pass
22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	1x128x80x80	operator-class-pass	pass	pass	pass
23	/model.5/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
24	/model.5/act/Mul_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
25	/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
26	/model.6/Split_output_1_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
27	/model.6/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
28	/model.6/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
29	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
30	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
31	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
32	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
33	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
34	/model.6/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
35	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
36	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
37	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
38	/model.6/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
39	/model.6/Concat_output_0_QuantizeLinear_Output	1x192x40x40	operator-class-pass	pass	pass	pass
40	/model.6/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
