index	observation	kind	name	model	wall_us	measurement
211	1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	23	67.458	single instrumented diagnostic
212	1	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	23	297.293	single instrumented diagnostic
213	1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	23	68.0	single instrumented diagnostic
214	1	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	23	301.21	single instrumented diagnostic
127	2	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	23	2744.68	single instrumented diagnostic
128	2	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	23	27023.334	single instrumented diagnostic
129	2	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	23	151.417	single instrumented diagnostic
130	2	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	23	255.585	single instrumented diagnostic
132	2	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	23	1176.756	single instrumented diagnostic
133	2	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	23	4152.478	single instrumented diagnostic
135	2	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	23	141.792	single instrumented diagnostic
136	2	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	23	329.876	single instrumented diagnostic
138	2	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	23	285.334	single instrumented diagnostic
139	2	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	23	34006.576	single instrumented diagnostic
142	2	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	23	328.459	single instrumented diagnostic
144	2	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	23	4131.727	single instrumented diagnostic
146	2	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	23	318.376	single instrumented diagnostic
148	2	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	23	4162.352	single instrumented diagnostic
161	2	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	23	1419.506	single instrumented diagnostic
162	2	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	23	13528.522	single instrumented diagnostic
163	2	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	23	84.792	single instrumented diagnostic
164	2	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	23	131.876	single instrumented diagnostic
166	2	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	23	376.752	single instrumented diagnostic
167	2	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	23	1204.589	single instrumented diagnostic
169	2	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	23	85.25	single instrumented diagnostic
170	2	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	23	108.126	single instrumented diagnostic
172	2	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	23	114.834	single instrumented diagnostic
173	2	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	23	8396.165	single instrumented diagnostic
175	2	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	23	111.917	single instrumented diagnostic
177	2	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	23	999.838	single instrumented diagnostic
179	2	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	23	126.125	single instrumented diagnostic
181	2	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	23	1027.463	single instrumented diagnostic
201	2	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	23	709.336	single instrumented diagnostic
202	2	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	23	6648.447	single instrumented diagnostic
203	2	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	23	64.334	single instrumented diagnostic
204	2	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	23	91.375	single instrumented diagnostic
205	2	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	23	134.459	single instrumented diagnostic
206	2	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	23	393.294	single instrumented diagnostic
207	2	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	23	77.417	single instrumented diagnostic
208	2	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	23	70.459	single instrumented diagnostic
209	2	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	23	71.208	single instrumented diagnostic
210	2	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	23	2098.385	single instrumented diagnostic
211	2	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	23	66.042	single instrumented diagnostic
212	2	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	23	295.835	single instrumented diagnostic
213	2	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	23	73.375	single instrumented diagnostic
214	2	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	23	308.46	single instrumented diagnostic
127	3	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	23	4596.022	single instrumented diagnostic
128	3	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	23	27813.421	single instrumented diagnostic
129	3	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	23	134.126	single instrumented diagnostic
