mode	runs	mean_us	p50_us	p90_us	p95_us	p99_us	p999_us	max_us	stddev_us	cv_pct
sched_other	10000	21258.53813	21169.6	21318.94	21485.16	24155.184	26770.3331	28850.4	549.0183102	2.5825779
rr20	10000	20986.04106	20912.1	21042.21	21102.0	23806.624	26336.0161	26717.4	520.1069339	2.4783471
