operation	name	kind	output_channels	right_shift_contract	e2c_compatible	macs	segment_begin_mod4	segment_count_mod4	coverage
1	/model.0/conv/Conv	conv_dense	16	62	1	44236800	0	0	all-selected-channels
3	/model.1/conv/Conv	conv_dense	32	62	1	117964800	0	0	all-selected-channels
5	/model.2/cv1/conv/Conv	conv_dense	32	62	1	26214400	0	0	all-selected-channels
7	/model.2/m.0/cv1/conv/Conv	conv_dense	8	62	1	29491200	0	0	all-selected-channels
9	/model.2/m.0/cv2/conv/Conv	conv_dense	16	62	1	29491200	0	0	all-selected-channels
12	/model.2/cv2/conv/Conv	conv_dense	64	62	1	78643200	0	0	all-selected-channels
14	/model.3/conv/Conv	conv_dense	64	62	1	235929600	0	0	all-selected-channels
16	/model.4/cv1/conv/Conv	conv_dense	64	62	1	26214400	0	0	all-selected-channels
18	/model.4/m.0/cv1/conv/Conv	conv_dense	16	62	1	29491200	0	0	all-selected-channels
20	/model.4/m.0/cv2/conv/Conv	conv_dense	32	62	1	29491200	0	0	all-selected-channels
23	/model.4/cv2/conv/Conv	conv_dense	128	62	1	78643200	0	0	all-selected-channels
25	/model.5/conv/Conv	conv_dense	128	62	1	235929600	0	0	all-selected-channels
27	/model.6/cv1/conv/Conv	conv_dense	128	62	1	26214400	0	0	all-selected-channels
29	/model.6/m.0/cv1/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
30	/model.6/m.0/cv2/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
32	/model.6/m.0/m/m.0/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
34	/model.6/m.0/m/m.0/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
36	/model.6/m.0/m/m.1/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
38	/model.6/m.0/m/m.1/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
41	/model.6/m.0/cv3/conv/Conv	conv_dense	64	62	1	6553600	0	0	all-selected-channels
43	/model.6/cv2/conv/Conv	conv_dense	128	62	1	39321600	0	0	all-selected-channels
45	/model.7/conv/Conv	conv_dense	256	62	1	117964800	0	0	all-selected-channels
47	/model.8/cv1/conv/Conv	conv_dense	256	62	1	26214400	0	0	all-selected-channels
49	/model.8/m.0/cv1/conv/Conv	conv_dense	64	62	1	3276800	0	0	all-selected-channels
50	/model.8/m.0/cv2/conv/Conv	conv_dense	64	62	1	3276800	0	0	all-selected-channels
52	/model.8/m.0/m/m.0/cv1/conv/Conv	conv_dense	64	62	1	14745600	0	0	all-selected-channels
54	/model.8/m.0/m/m.0/cv2/conv/Conv	conv_dense	64	62	1	14745600	0	0	all-selected-channels
56	/model.8/m.0/m/m.1/cv1/conv/Conv	conv_dense	64	62	1	14745600	0	0	all-selected-channels
58	/model.8/m.0/m/m.1/cv2/conv/Conv	conv_dense	64	62	1	14745600	0	0	all-selected-channels
61	/model.8/m.0/cv3/conv/Conv	conv_dense	128	62	1	6553600	0	0	all-selected-channels
63	/model.8/cv2/conv/Conv	conv_dense	256	62	1	39321600	0	0	all-selected-channels
65	/model.9/cv1/conv/Conv	conv_dense	128	62	1	13107200	0	0	all-selected-channels
67	/model.9/cv2/conv/Conv	conv_dense	256	62	1	52428800	0	0	all-selected-channels
69	/model.10/cv1/conv/Conv	conv_dense	256	62	1	26214400	0	0	all-selected-channels
71	/model.10/m/m.0/attn/qkv/conv/Conv	conv_dense	256	62	1	13107200	0	0	all-selected-channels
77	/model.10/m/m.0/attn/pe/conv/Conv	conv_grouped	128	per-channel-exact-fallback	0	460800	not-applicable	not-applicable	E1 exact fallback
81	/model.10/m/m.0/attn/proj/conv/Conv	conv_dense	128	62	1	6553600	0	0	all-selected-channels
83	/model.10/m/m.0/ffn/ffn.0/conv/Conv	conv_dense	256	62	1	13107200	0	0	all-selected-channels
85	/model.10/m/m.0/ffn/ffn.1/conv/Conv	conv_dense	128	62	1	13107200	0	0	all-selected-channels
88	/model.10/cv2/conv/Conv	conv_dense	256	62	1	26214400	0	0	all-selected-channels
90	/model.13/cv1/conv/Conv	conv_dense	128	62	1	78643200	0	0	all-selected-channels
92	/model.13/m.0/cv1/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
93	/model.13/m.0/cv2/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
95	/model.13/m.0/m/m.0/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
97	/model.13/m.0/m/m.0/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
99	/model.13/m.0/m/m.1/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
101	/model.13/m.0/m/m.1/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
104	/model.13/m.0/cv3/conv/Conv	conv_dense	64	62	1	6553600	0	0	all-selected-channels
106	/model.13/cv2/conv/Conv	conv_dense	128	62	1	39321600	0	0	all-selected-channels
108	/model.16/cv1/conv/Conv	conv_dense	64	62	1	104857600	0	0	all-selected-channels
110	/model.16/m.0/cv1/conv/Conv	conv_dense	16	62	1	3276800	0	0	all-selected-channels
111	/model.16/m.0/cv2/conv/Conv	conv_dense	16	62	1	3276800	0	0	all-selected-channels
113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
115	/model.16/m.0/m/m.0/cv2/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
117	/model.16/m.0/m/m.1/cv1/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
119	/model.16/m.0/m/m.1/cv2/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
122	/model.16/m.0/cv3/conv/Conv	conv_dense	32	62	1	6553600	0	0	all-selected-channels
124	/model.16/cv2/conv/Conv	conv_dense	64	62	1	39321600	0	0	all-selected-channels
126	/model.17/conv/Conv	conv_dense	64	62	1	58982400	0	0	all-selected-channels
127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	16	62	1	58982400	0	0	all-selected-channels
128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	64	per-channel-exact-fallback	0	3686400	not-applicable	not-applicable	E1 exact fallback
132	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	80	62	1	32768000	0	0	all-selected-channels
134	/model.19/cv1/conv/Conv	conv_dense	128	62	1	39321600	0	0	all-selected-channels
138	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	conv_dense	4	62	1	409600	0	0	all-selected-channels
139	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	conv_grouped	80	per-channel-exact-fallback	0	4608000	not-applicable	not-applicable	E1 exact fallback
140	/model.19/m.0/cv1/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
141	/model.19/m.0/cv2/conv/Conv	conv_dense	32	62	1	3276800	0	0	all-selected-channels
144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	80	62	1	40960000	0	0	all-selected-channels
145	/model.19/m.0/m/m.0/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
148	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	conv_dense	80	62	1	40960000	0	0	all-selected-channels
149	/model.19/m.0/m/m.0/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
151	/model.19/m.0/m/m.1/cv1/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
153	/model.19/m.0/m/m.1/cv2/conv/Conv	conv_dense	32	62	1	14745600	0	0	all-selected-channels
156	/model.19/m.0/cv3/conv/Conv	conv_dense	64	62	1	6553600	0	0	all-selected-channels
158	/model.19/cv2/conv/Conv	conv_dense	128	62	1	39321600	0	0	all-selected-channels
160	/model.20/conv/Conv	conv_dense	128	62	1	58982400	0	0	all-selected-channels
161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	16	62	1	29491200	0	0	all-selected-channels
162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	128	per-channel-exact-fallback	0	1843200	not-applicable	not-applicable	E1 exact fallback
166	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	conv_dense	16	62	1	3686400	0	0	all-selected-channels
167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	80	62	1	16384000	0	0	all-selected-channels
168	/model.22/cv1/conv/Conv	conv_dense	256	62	1	39321600	0	0	all-selected-channels
172	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	conv_dense	4	62	1	102400	0	0	all-selected-channels
173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	80	per-channel-exact-fallback	0	1152000	not-applicable	not-applicable	E1 exact fallback
174	/model.22/m.0/m.0.0/cv1/conv/Conv	conv_dense	64	62	1	29491200	0	0	all-selected-channels
177	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	conv_dense	80	62	1	10240000	0	0	all-selected-channels
178	/model.22/m.0/m.0.0/cv2/conv/Conv	conv_dense	128	62	1	29491200	0	0	all-selected-channels
181	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	conv_dense	80	62	1	10240000	0	0	all-selected-channels
182	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	conv_dense	256	62	1	13107200	0	0	all-selected-channels
188	/model.22/m.0/m.0.1/attn/pe/conv/Conv	conv_grouped	128	per-channel-exact-fallback	0	460800	not-applicable	not-applicable	E1 exact fallback
192	/model.22/m.0/m.0.1/attn/proj/conv/Conv	conv_dense	128	62	1	6553600	0	0	all-selected-channels
194	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	conv_dense	256	62	1	13107200	0	0	all-selected-channels
196	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	conv_dense	128	62	1	13107200	0	0	all-selected-channels
199	/model.22/cv2/conv/Conv	conv_dense	256	62	1	39321600	0	0	all-selected-channels
201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	16	62	1	14745600	0	0	all-selected-channels
202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	256	per-channel-exact-fallback	0	921600	not-applicable	not-applicable	E1 exact fallback
205	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	conv_dense	16	62	1	921600	0	0	all-selected-channels
206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	80	62	1	8192000	0	0	all-selected-channels
209	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	conv_dense	4	62	1	25600	0	0	all-selected-channels
210	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	conv_grouped	80	per-channel-exact-fallback	0	288000	not-applicable	not-applicable	E1 exact fallback
212	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	conv_dense	80	62	1	2560000	0	0	all-selected-channels
214	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	conv_dense	80	62	1	2560000	0	0	all-selected-channels
