index	observation	kind	name	model	wall_us	measurement
0	1	input_quant	images_QuantizeLinear	-1	32988.821	single instrumented diagnostic
1	1	conv_dense	/model.0/conv/Conv	0	14053.816	single instrumented diagnostic
2	1	lut1	/model.0/act/Mul_output_0_QuantizeLinear	0	905.254	single instrumented diagnostic
3	1	conv_dense	/model.1/conv/Conv	1	7815.87	single instrumented diagnostic
4	1	lut1	/model.1/act/Mul_output_0_QuantizeLinear	1	517.753	single instrumented diagnostic
5	1	conv_dense	/model.2/cv1/conv/Conv	2	5802.944	single instrumented diagnostic
6	1	split	/model.2/Split	2	310.585	single instrumented diagnostic
7	1	conv_dense	/model.2/m.0/cv1/conv/Conv	2	3129.681	single instrumented diagnostic
8	1	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	2	165.042	single instrumented diagnostic
9	1	conv_dense	/model.2/m.0/cv2/conv/Conv	2	3543.6	single instrumented diagnostic
10	1	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	2	15884.741	single instrumented diagnostic
11	1	concat	/model.2/Concat	2	824.046	single instrumented diagnostic
12	1	conv_dense	/model.2/cv2/conv/Conv	2	12275.474	single instrumented diagnostic
13	1	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	2	883.213	single instrumented diagnostic
14	1	conv_dense	/model.3/conv/Conv	3	7086.617	single instrumented diagnostic
15	1	lut1	/model.3/act/Mul_output_0_QuantizeLinear	3	295.293	single instrumented diagnostic
16	1	conv_dense	/model.4/cv1/conv/Conv	4	3287.265	single instrumented diagnostic
17	1	split	/model.4/Split	4	206.668	single instrumented diagnostic
18	1	conv_dense	/model.4/m.0/cv1/conv/Conv	4	1660.549	single instrumented diagnostic
19	1	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	4	133.5	single instrumented diagnostic
20	1	conv_dense	/model.4/m.0/cv2/conv/Conv	4	1906.801	single instrumented diagnostic
