operation	name	python_operator_oracle	portable_cpp_scalar	board_optimized
0	images_QuantizeLinear	pass	pass	pass
1	/model.0/conv/Conv	pass	pass	pass
2	/model.0/act/Mul_output_0_QuantizeLinear	pass	pass	pass
3	/model.1/conv/Conv	pass	pass	pass
4	/model.1/act/Mul_output_0_QuantizeLinear	pass	pass	pass
5	/model.2/cv1/conv/Conv	pass	pass	pass
6	/model.2/Split	pass	pass	pass
7	/model.2/m.0/cv1/conv/Conv	pass	pass	pass
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	pass	pass	pass
9	/model.2/m.0/cv2/conv/Conv	pass	pass	pass
10	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	pass	pass	pass
11	/model.2/Concat	pass	pass	pass
12	/model.2/cv2/conv/Conv	pass	pass	pass
13	/model.2/cv2/act/Mul_output_0_QuantizeLinear	pass	pass	pass
14	/model.3/conv/Conv	pass	pass	pass
15	/model.3/act/Mul_output_0_QuantizeLinear	pass	pass	pass
16	/model.4/cv1/conv/Conv	pass	pass	pass
17	/model.4/Split	pass	pass	pass
18	/model.4/m.0/cv1/conv/Conv	pass	pass	pass
19	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	pass	pass	pass
20	/model.4/m.0/cv2/conv/Conv	pass	pass	pass
21	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	pass	pass	pass
22	/model.4/Concat	pass	pass	pass
23	/model.4/cv2/conv/Conv	pass	pass	pass
