profile	profile_file	event_name	node_index	op_name	provider	duration_us	execution_count
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	SpaceMITExecutionProvider_SpineSubgraph_9849537166028720912_1_0_kernel_time	950	SpineSubgraph_9849537166028720912_1	SpaceMITExecutionProvider	633239	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/TopK_kernel_time	374	TopK	CPUExecutionProvider	537	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_kernel_time	375	Unsqueeze	CPUExecutionProvider	81	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Flatten_1_kernel_time	388	Flatten	CPUExecutionProvider	56	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Tile_kernel_time	378	Tile	CPUExecutionProvider	949	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/GatherElements_kernel_time	379	GatherElements	CPUExecutionProvider	583	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Flatten_kernel_time	380	Flatten	CPUExecutionProvider	74	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/TopK_1_kernel_time	381	TopK	CPUExecutionProvider	490	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Div_1_kernel_time	382	Div	CPUExecutionProvider	141	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Gather_3_kernel_time	391	Gather	CPUExecutionProvider	85	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Reshape_6_new_reshape_kernel_time	406	Reshape	CPUExecutionProvider	61	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Tile_1_kernel_time	403	Tile	CPUExecutionProvider	107	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/GatherElements_1_kernel_time	404	GatherElements	CPUExecutionProvider	188	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Mod_kernel_time	398	Mod	CPUExecutionProvider	81	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_2_kernel_time	399	Unsqueeze	CPUExecutionProvider	58	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Cast_2_kernel_time	400	Cast	CPUExecutionProvider	63	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_1_kernel_time	397	Unsqueeze	CPUExecutionProvider	48	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Concat_6_kernel_time	405	Concat	CPUExecutionProvider	117	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	SpaceMITExecutionProvider_SpineSubgraph_9849537166028720912_1_0_kernel_time	950	SpineSubgraph_9849537166028720912_1	SpaceMITExecutionProvider	432732	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/TopK_kernel_time	374	TopK	CPUExecutionProvider	539	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_kernel_time	375	Unsqueeze	CPUExecutionProvider	66	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Flatten_1_kernel_time	388	Flatten	CPUExecutionProvider	48	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Tile_kernel_time	378	Tile	CPUExecutionProvider	819	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/GatherElements_kernel_time	379	GatherElements	CPUExecutionProvider	435	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Flatten_kernel_time	380	Flatten	CPUExecutionProvider	74	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/TopK_1_kernel_time	381	TopK	CPUExecutionProvider	494	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Div_1_kernel_time	382	Div	CPUExecutionProvider	86	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Gather_3_kernel_time	391	Gather	CPUExecutionProvider	82	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Reshape_6_new_reshape_kernel_time	406	Reshape	CPUExecutionProvider	61	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Tile_1_kernel_time	403	Tile	CPUExecutionProvider	108	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/GatherElements_1_kernel_time	404	GatherElements	CPUExecutionProvider	185	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Mod_kernel_time	398	Mod	CPUExecutionProvider	72	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_2_kernel_time	399	Unsqueeze	CPUExecutionProvider	56	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Cast_2_kernel_time	400	Cast	CPUExecutionProvider	63	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Unsqueeze_1_kernel_time	397	Unsqueeze	CPUExecutionProvider	47	1
rt206_spacemit_fp32_all	rt206_spacemit_fp32_all__2026-07-27_15-05-49.json	/model.23/Concat_6_kernel_time	405	Concat	CPUExecutionProvider	178	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	SpaceMITExecutionProvider_SpineSubgraph_9849537166028720912_1_0_kernel_time	949	SpineSubgraph_9849537166028720912_1	SpaceMITExecutionProvider	641510	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Shape_kernel_time	357	Shape	CPUExecutionProvider	102	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Gather_kernel_time	358	Gather	CPUExecutionProvider	94	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Add_kernel_time	359	Add	CPUExecutionProvider	79	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Div_kernel_time	360	Div	CPUExecutionProvider	57	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Mul_1_kernel_time	363	Mul	CPUExecutionProvider	55	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Mul_kernel_time	361	Mul	CPUExecutionProvider	53	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Slice_1_kernel_time	364	Slice	CPUExecutionProvider	291	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Add_1_kernel_time	366	Add	CPUExecutionProvider	359	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Slice_kernel_time	362	Slice	CPUExecutionProvider	240	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Sub_kernel_time	365	Sub	CPUExecutionProvider	157	1
rt206_spacemit_fp32_disable	rt206_spacemit_fp32_disable__2026-07-27_15-05-43.json	/model.23/Concat_2_kernel_time	367	Concat	CPUExecutionProvider	313	1
