arm	allowed_list	observations	observed_cpu_mask
rt206_cpu_int8	0-3	401	0,1,2,3
rt206_spacemit_fp32	0	26	0
rt206_spacemit_fp32	0-3	81	0,1,2,3
rt206_spacemit_fp32	1	26	1
rt206_spacemit_fp32	2	26	2
rt206_spacemit_fp32	3	26	3
rt206_spacemit_fp32	4-7	24	4
