name	id	size	content_type	created_at	updated_at	browser_download_url	download_count
spacemit-ort.riscv64.2.0.6.tar.gz	490963065	15002263	application/x-gzip	2026-07-27T03:29:00Z	2026-07-27T03:29:05Z	https://github.com/spacemit-com/onnxruntime/releases/download/2.0.6/spacemit-ort.riscv64.2.0.6.tar.gz	8
spacemit-ort.riscv64.ohos.2.0.6.tar.gz	490962863	35532125	application/x-gzip	2026-07-27T03:28:46Z	2026-07-27T03:29:00Z	https://github.com/spacemit-com/onnxruntime/releases/download/2.0.6/spacemit-ort.riscv64.ohos.2.0.6.tar.gz	0
