ref	expected	local_before	github_before	gitlab_before	status
yolo26-custom-int8-engine	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
v0.9.3-r640 peeled	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	pass
v0.10.0-internal-rd.1 peeled	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
