plugin	source	binary_sha256	abi_version	entry_init	entry_get_abi	entry_get_metadata	build_status
official_2_0_6	official package plugin sample	85c8b9ebb233b0e27f572999a3408deebae73f690d657b0ce150b2bbc0882ed4	1	SpacemitPluginInit	SpacemitPluginGetAbiVersion	SpacemitPluginGetMetadata	pass
independent_u8_xor	accepted Stage46 independent sample	8b22702c08ace87e5de0c6b06126fa21ad960320c56eaa94b12eb8dbc9b6cce5	1	SpacemitPluginInit	SpacemitPluginGetAbiVersion	SpacemitPluginGetMetadata	pass
