arm	samples	runs_per_repeat	total_inferences	session_create_us	first_run_us	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	process_cpu_mean_us	max_rss_kib	voluntary_context_switches	involuntary_context_switches	frequency_min_khz	frequency_max_khz	temperature_min_millic	temperature_max_millic	output_hash
rt206_cpu_int8_t1	20	1	20	2405868.470000	2545690.471000	2483619.934750	1292.906731	0.052057	2483746.706500	2485217.479200	2485724.213300	2486345.229060	2486484.957606	2481314.311000	2486500.483000	2482691.815350	135096	1	326	1600000	1600000	52000	54000	15645569605351162986
rt206_cpu_int8_t2	20	1	20	2423804.871000	1555584.645000	1504435.031000	1279.138654	0.085025	1504052.624500	1506459.595500	1506889.046500	1507029.030900	1507060.527390	1502346.124000	1507064.027000	2602171.071450	135012	8216	215	1600000	1600000	53000	56000	15645569605351162986
rt206_cpu_int8_t4	20	1	20	2427684.162000	1056873.723000	1019188.619750	1290.692030	0.126639	1018927.424000	1020632.478900	1021551.017950	1022216.685990	1022366.461299	1016695.088000	1022383.103000	2790847.620550	135112	24458	201	1600000	1600000	54000	58000	15645569605351162986
