failure_id	artifact	sha256	bytes
A1_abort	fault_backtraces/rt206_A1_abort.gdb.txt	c1b99bb2911dcc02f1190fdd7f4125037d787863ae1e1ed8cc28b3cb0d538946	21250
B_sigill	fault_backtraces/rt206_B_sigill.gdb.txt	1405fdffcc81bda8b4167d06cc36e648a4b4d2138d49eb702c68ef7dde4610f4	20157
shared	fault_pc_opcode.tsv	4a51bb25cdd699d3723978964a4839d1e7021f368882824a03e9ea9bb4678cf9	512
shared	shared-log:raw/board/faults/gdb_exit.tsv	632fae428bf2b01c9f967fce8e8003886148876d9ee0a133d6a0597fa62ea1ae	52
