phase	arm	total_inferences	frequency_min_khz	frequency_max_khz	temperature_min_millic	temperature_max_millic	frequency_gate
500-run-blocks	b120_cpu_int8_t4_blocks	500	1600000	1600000	57000	64000	pass
500-run-blocks	rt204_cpu_int8_t4_blocks	500	1600000	1600000	61000	64000	pass
500-run-blocks	rt204_spacemit_fp16_t4_blocks	500	1600000	1600000	69000	72000	pass
500-run-blocks	rt204_spacemit_fp32_t4_blocks	500	1600000	1600000	61000	67000	pass
500-run-blocks	rt205_cpu_int8_t4_blocks	500	1600000	1600000	62000	63000	pass
500-run-blocks	rt205_spacemit_fp16_t4_blocks	500	1600000	1600000	68000	73000	pass
500-run-blocks	rt205_spacemit_fp32_t4_blocks	500	1600000	1600000	65000	71000	pass
500-run-blocks	rt206_cpu_fp16_t4_blocks	500	1600000	1600000	66000	73000	pass
500-run-blocks	rt206_cpu_fp32_t4_blocks	500	1600000	1600000	69000	74000	pass
500-run-blocks	rt206_cpu_int8_t4_blocks	500	1600000	1600000	61000	63000	pass
500-run-blocks	rt206_spacemit_fp16_t4_blocks	500	1600000	1600000	70000	73000	pass
500-run-blocks	rt206_spacemit_fp32_t4_blocks	500	1600000	1600000	68000	73000	pass
1000-run-stability	rt206_cpu_fp16_stability	1000	1600000	1600000	62000	67000	pass
1000-run-stability	rt206_cpu_fp32_stability	1000	1600000	1600000	56000	66000	pass
1000-run-stability	rt206_cpu_int8_stability	1000	1600000	1600000	57000	60000	pass
1000-run-stability	rt206_spacemit_fp16_stability	1000	1600000	1600000	64000	68000	pass
1000-run-stability	rt206_spacemit_fp32_stability	1000	1600000	1600000	63000	67000	pass
