runtime	path	size	sha256	elf_class	machine	soname	needed	rpath_runpath	build_id	defined_symbol_rows	undefined_symbol_rows	version_info_sha256
rt205	bin/imagenet_test	64720	f7ac2dc9fe6e2daeb674efeea861ba71f40d078d961e00775f1964131a7c5f5f	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libspacemit_ep.so.2;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6			26	105	57b66541e60f615ecb18c9c1330a2c46869ff5c574e821696da441eff2e52a3e
rt205	bin/onnx_test_runner	1882008	561d7bcd402bdeae9a1857b7e8ac8ee052981c2e85e00e348b4c67993f8270ff	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		1200	339	fe0cdef673a08c6783fc7bf01b8cf76025c525cc104b7bd28345749bbbcd9dec
rt205	bin/onnxruntime_perf_test	1978440	bb2fb304af8f5847ddfd31297c9f84f91bb7296e2d1bd3fe309d94c23702793a	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		1225	326	94dc1a38cbfed61870af275b9932e1cf11a62177e569d9ae68df649d99f50c79
rt205	bin/run_demo	72720	71db78e7152298fa38de04d23d3c9afc44629db854ddb822b75f708a99fc2a43	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libspacemit_ep.so.2;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6			23	80	0d73d752b163b98d19e5b82828e902c3cff99f3ed5f9cc2596c71c783afc057c
rt205	lib/libonnxruntime.so.1.24.2+spacemit.a1	20383912	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	ELF64	RISC-V	libonnxruntime.so.1	libatomic.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		15801	409	d8d50a2b0d13ecf042a2e52445bb271fd99b6975d6cb58d077b5661de4d89d5c
rt205	lib/libonnxruntime_providers_shared.so	6048	62a3d2d9916c20bbe08358e5797c3e8c7ff11c6235728ac396d1d1f315d598de	ELF64	RISC-V	libonnxruntime_providers_shared.so	libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6			4	4	7513a5c59909b3a25fbfbab65c21329f3a514c2fc299c25e8db9a6f2d0cba154
rt205	lib/libspacemit_ep.so.2.0.5	5703872	3927b51f79f8d2142ff98708183aa9b24b47d6941533499035193a630042a41d	ELF64	RISC-V	libspacemit_ep.so.2	libatomic.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		7332	384	7b8766c84c9a1da64b0bb6033849560d43624e9a5ddf346a97a4d67146753f6c
rt206	bin/imagenet_test	64720	f7ac2dc9fe6e2daeb674efeea861ba71f40d078d961e00775f1964131a7c5f5f	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libspacemit_ep.so.2;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6			26	105	57b66541e60f615ecb18c9c1330a2c46869ff5c574e821696da441eff2e52a3e
rt206	bin/onnx_test_runner	1882008	561d7bcd402bdeae9a1857b7e8ac8ee052981c2e85e00e348b4c67993f8270ff	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		1200	339	fe0cdef673a08c6783fc7bf01b8cf76025c525cc104b7bd28345749bbbcd9dec
rt206	bin/onnxruntime_perf_test	1978440	bb2fb304af8f5847ddfd31297c9f84f91bb7296e2d1bd3fe309d94c23702793a	ELF64	RISC-V		libatomic.so.1;libonnxruntime.so.1;libstdc++.so.6;libm.so.6;libgcc_s.so.1;libc.so.6;ld-linux-riscv64-lp64d.so.1	$ORIGIN		1225	326	94dc1a38cbfed61870af275b9932e1cf11a62177e569d9ae68df649d99f50c79
