fixture	surface	provider	output_shape	output_dtype	output_bytes	output_sha256	output_fnv1a64	nonfinite	score_ge_0_001	class_noninteger	class_out_of_range	status
bus_r640_nchw_f32	fp16	cpu	1x300x6	float16	3600	2747652d2a8cafaf56a8688ec076d33193a7503c1b9a86899ba45682f116da30	9774348001584112750	0	176	0	0	pass
bus_r640_nchw_f32	fp16	spacemit	1x300x6	float16	3600	40970db284e4aa263154dc7146252e105b3c62597438ae790f00263fd1f668b2	6297533708969410068	0	176	0	0	pass
bus_r640_nchw_f32	fp32	cpu	1x300x6	float32	7200	b3882b2795630a75102d8fc7f04cf2cc17f9ff3f848df19401af90a630147ad5	1989209724338958306	0	177	0	0	pass
bus_r640_nchw_f32	fp32	spacemit	1x300x6	float32	7200	dfbecf627c4d30f5fe650b447c2faa5d5ae844f8001e80e872ed495818d4e7cc	3097777028859595282	0	177	0	0	pass
bus_r640_nchw_f32	int8	cpu	1x300x6	float32	7200	48c32083ce0de4e748b37cd69fbcddc9d557b351b929090665714fa0bc989698	5388173468148924610	0	170	0	0	pass
images_F0_f32	fp16	cpu	1x300x6	float16	3600	964744f578b52af6f8bde6cb806b4bf131a177fe20d0b2372eb83bc45645283f	8066093438752110670	0	23	0	0	pass
images_F0_f32	fp16	spacemit	1x300x6	float16	3600	59be1fe673b41f865c2c852b6504ae9f0c4788f417b01d2d0f06b28fe93c2802	11204660165767355151	0	23	0	0	pass
images_F0_f32	fp32	cpu	1x300x6	float32	7200	62b914b91fc44c90d2190bcba189f598091b58bc1ae558f1e0c98ae0e7364b7a	7109068612406988645	0	23	0	0	pass
images_F0_f32	fp32	spacemit	1x300x6	float32	7200	076acf38e32224ed2c173f1d704d1306a7473dba526d0a39fb225e9d5304d3ad	7454185461486612588	0	23	0	0	pass
images_F0_f32	int8	cpu	1x300x6	float32	7200	b7cbcab72cefc9f6844159c4ed192cdf41b6570e682f2802de67fcf3d1896612	15645569605351162986	0	17	0	0	pass
zidane_r640_nchw_f32	fp16	cpu	1x300x6	float16	3600	d214087db01c0616fc3aa553c19a9edb6e4b69952b44a2067163e07df55034e6	2858333215980506820	0	125	0	0	pass
zidane_r640_nchw_f32	fp16	spacemit	1x300x6	float16	3600	c2a8adc85ae1a29de60f160ed72530e11835df1563425ec8f97873e757b1d611	12180769546651943657	0	123	0	0	pass
zidane_r640_nchw_f32	fp32	cpu	1x300x6	float32	7200	52ddd77b90acc7399e1b27f1007eb7f355d151c0b44b6eb38e938c63b8bb0b64	11988050206269753930	0	125	0	0	pass
zidane_r640_nchw_f32	fp32	spacemit	1x300x6	float32	7200	91a2f0309678df9a8131a95aad9a8b9aa83160fb134fdb1fe51732ef9bce0751	8621312843542446214	0	125	0	0	pass
zidane_r640_nchw_f32	int8	cpu	1x300x6	float32	7200	6d5f19235bb64bfa596b8f735fafed130326cab74d5b7418fba6db9437ac0622	15073453659203486280	0	148	0	0	pass
canonical_640_nchw_f32	fp16	cpu	1x300x6	float16	3600	758b78fecfff2b1a9f6e0e9a6db6652afecd23c2c2da5d0737b8dff5650e1f28	5676813553583116066	0	300	0	0	pass
canonical_640_nchw_f32	fp16	spacemit	1x300x6	float16	3600	fbeb557ee2b606f00df1ca4f71ca76df97897a61f052d83571fee16d13f3a33b	16772021896043365173	0	300	0	0	pass
canonical_640_nchw_f32	fp32	cpu	1x300x6	float32	7200	4afa9476c292ed471eb0366046eab61f79908c7a0f164eeca2229dd164c62957	7250182890419355020	0	300	0	0	pass
canonical_640_nchw_f32	fp32	spacemit	1x300x6	float32	7200	5e9521828749018b6dd044bf69ab9b6035470bad367b2739d4f0a00e5972aa3c	6293061085388561253	0	300	0	0	pass
canonical_640_nchw_f32	int8	cpu	1x300x6	float32	7200	af8dad1554a43f853151794db2829b1d068001dade0fcfb29b93280baccbfe13	10207901950019914750	0	300	0	0	pass
