profile	provider	op_name	profile_event_count	duration_us	duration_fraction	provider_event_count	provider_duration_us	provider_duration_fraction	scope_note
rt206_spacemit_fp16_disable	CPUExecutionProvider	Cast	24	13157	0.014708266	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Concat	10	3791	0.004237975	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	ConstantOfShape	4	203	0.000226935	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Div	4	284	0.000317485	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Expand	4	268	0.000299598	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Flatten	4	231	0.000258236	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Gather	8	526	0.000588018	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	GatherElements	4	1231	0.001376140	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Mod	2	156	0.000174393	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Mul	8	870	0.000972577	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	ReduceMax	2	9271	0.010364090	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Reshape	4	199	0.000222463	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Resize	4	9088	0.010159514	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Shape	6	393	0.000439336	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Slice	4	587	0.000656210	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Split	2	2668	0.002982569	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Sub	2	297	0.000332018	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Tile	4	1629	0.001821066	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	TopK	4	1982	0.002215686	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Transpose	4	8052	0.009001365	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	CPUExecutionProvider	Unsqueeze	6	369	0.000412507	120	55940	0.062535563	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	SpaceMITExecutionProvider	SpineSubgraph_2866176829891434777_3	2	411148	0.459624094	6	838591	0.937464437	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	SpaceMITExecutionProvider	SpineSubgraph_2866176829891434777_4	2	47437	0.053030024	6	838591	0.937464437	an EP subgraph profile event can contain many original ONNX nodes
rt206_spacemit_fp16_disable	SpaceMITExecutionProvider	SpineSubgraph_2866176829891434777_5	2	380006	0.424810320	6	838591	0.937464437	an EP subgraph profile event can contain many original ONNX nodes
